"reporter","partner","percentage"
"ARM","BHS",98.0688335169354
"ARM","GEO",1.92518262203648
"ARM","RUS",0.00598386102815199
"AFG","CAN",1.77443609022556
"AFG","PAK",4.51127819548872
"AFG","TJK",93.7142857142857
"ALB","GRC",16.3934426229508
"ALB","MKD",81.9672131147541
"DZA","CHN",0
"DZA","FRA",68.0087051142546
"DZA","GRC",0
"DZA","MLT",0
"DZA","PAN",0
"DZA","RUS",0
"DZA","ESP",0
"DZA","CHE",31.9912948857454
"DZA","TUR",0
"DZA","GBR",0
"DZA","UKR",0
"ARG","CHL",10.8363636363636
"ARG","ECU",19.5272727272727
"ARG","PRY",8.14545454545455
"ARG","URY",61.4909090909091
"AUS","SLB",0.368558205387593
"AUS","CAN",0.0384582475187054
"AUS","CHN",0.62601480683226
"AUS","FJI",0.66660962365756
"AUS","FRA",6.73019331577345
"AUS","DEU",0
"AUS","HKG",1.28870738676106
"AUS","IDN",0.769164950374108
"AUS","JPN",35.3303100538507
"AUS","KOR",29.1641710350183
"AUS","MUS",0
"AUS","NCL",0
"AUS","NZL",9.21787217841859
"AUS","NGA",3.42278402916478
"AUS","PNG",0.256388316791369
"AUS","TLS",1.66780600072786
"AUS","QAT",0.00640970791978423
"AUS","SYC",0.128194158395685
"AUS","SGP",1.42153077865437
"AUS","ARE",0.0503619907983047
"AUS","GBR",0.205110653433095
"AUS","USA",2.56388316791369
"AUS","VNM",0.0235022623725422
"AUT","BGR",0.220665289129083
"AUT","CYP",3.09872383919887e-05
"AUT","EST",0
"AUT","FRA",3.27659446097368
"AUT","DEU",15.2984700196666
"AUT","BIH",0.213811944904722
"AUT","GRC",0
"AUT","HUN",36.3913367079663
"AUT","HRV",1.27281321184629
"AUT","ITA",1.9025769989647
"AUT","LVA",0.110169961562984
"AUT","LTU",4.6480857587983e-05
"AUT","NLD",1.30161452190714
"AUT","NGA",0
"AUT","CZE",1.3872921391802
"AUT","POL",0.14674429293777
"AUT","ROU",1.92499438792685
"AUT","SVN",21.466887976732
"AUT","SVK",1.41506322840855
"AUT","SGP",0.000123948953567955
"AUT","ESP",0.0541656927091962
"AUT","CHE",6.89137026090458
"AUT","TUR",0.000557770291055796
"AUT","GBR",1.87158788255826
"AUT","BEL",4.33249622939509
"AUT","SRB",0.483400918915023
"BHS","USA",100
"BHR","AUS",0
"BHR","BHS",0
"BHR","CHN",0
"BHR","CYP",0
"BHR","EGY",1.08166502242137
"BHR","DEU",0
"BHR","GRC",0
"BHR","HKG",0
"BHR","ISL",0
"BHR","IND",0
"BHR","ITA",0
"BHR","JPN",0
"BHR","JOR",6.54407338564929
"BHR","PRK",0
"BHR","KWT",6.15347212755269
"BHR","LBR",0
"BHR","MLT",0
"BHR","NLD",0
"BHR","VUT",0.072111001494758
"BHR","NOR",0
"BHR","PAK",1.29799802690564
"BHR","PAN",0.072111001494758
"BHR","PHL",0
"BHR","PRT",0
"BHR","QAT",12.132676001493
"BHR","SAU",52.1423320079789
"BHR","SYC",0
"BHR","SGP",0
"BHR","ESP",0
"BHR","SYR",16.6215858445417
"BHR","TUR",0
"BHR","ARE",3.84592007972043
"BHR","GBR",0
"BHR","USA",0.036055500747379
"BHR","LUX",0
"BRB","BHR",100
"BRB","LCA",0
"BGD","CAN",0.143057726441836
