"reporter","partner","percentage"
"ARM","BRA",0
"ARM","BGR",0
"ARM","CAN",0
"ARM","FRA",0.0634983631912949
"ARM","GEO",71.390135148288
"ARM","DEU",0
"ARM","LBN",9.3025102075247
"ARM","NLD",0
"ARM","RUS",17.7833939275962
"ARM","CHE",0
"ARM","ARE",0
"ARM","GBR",1.46046235339978
"AFG","CAN",NA
"AFG","IRL",NA
"AFG","NPL",NA
"AFG","ESP",NA
"ALB","BGR",3.59712230215827
"ALB","FRA",0
"ALB","ITA",1.79856115107914
"ALB","SVK",61.1510791366906
"ALB","GBR",1.07913669064748
"ALB","BEL",0
"ALB","SRB",19.7841726618705
"ALB","MNE",12.589928057554
"DZA","CAN",0.390068506336762
"DZA","FRA",0.00118471831841082
"DZA","ITA",0.355415495523246
"DZA","CIV",0
"DZA","LBY",1.77707747761623
"DZA","MLI",0.078191409015114
"DZA","MLT",19.1924367582553
"DZA","PRT",0
"DZA","ZAF",0
"DZA","ESP",0
"DZA","SWE",0
"DZA","ARE",0.135057888298833
"DZA","BEL",78.0705677466361
"ATG","BRB",0
"ATG","KNA",44.1717791411043
"ATG","LCA",31.2883435582822
"ATG","VCT",24.5398773006135
"ARG","BRA",0
"ARG","CHL",1.43760782058654
"ARG","USA",0
"ARG","URY",98.5623921794135
"AUS","ARG",0.0555580788099876
"AUS","BHR",0.0733559049222781
"AUS","BGD",0.114314956096914
"AUS","BRA",0.808117509963457
"AUS","SLB",0.0119253451991135
"AUS","BRN",0.0441097474188387
"AUS","BGR",0.109432579474218
"AUS","MMR",0.133002673514819
"AUS","CAN",0.753095115108937
"AUS","LKA",0.0666696945719852
"AUS","CHL",0
"AUS","CHN",1.44655439395096
"AUS","COL",0.807275720890578
"AUS","COK",0.0016835781457572
"AUS","CYP",0.754243009299226
"AUS","DNK",0.0046298399008323
"AUS","EGY",0.16835781457572
"AUS","FJI",0.704271348881978
"AUS","FRA",0.489232503901172
"AUS","PYF",1.86596577821423
"AUS","DEU",3.50553706188372
"AUS","KIR",0.319879847693868
"AUS","GRC",0.406704377782204
"AUS","HND",1.59939923846934
"AUS","HKG",1.8347634632462
"AUS","HRV",0
"AUS","IND",0.660130990951399
"AUS","IDN",3.4169796822654
"AUS","IRL",0.16835781457572
"AUS","ITA",1.4325566442248
"AUS","JPN",1.50896704092581
"AUS","KEN",1.17766291295716
"AUS","KHM",0.0777251910624575
"AUS","KOR",1.09083237008973
"AUS","KWT",0.58357027477309
"AUS","LAO",1.85193596033292
"AUS","LBN",0.714258028337493
"AUS","MAC",0.0429312427168086
"AUS","MYS",2.80147403453998
"AUS","MDV",0.404199053160541
"AUS","MLI",1.01014688745432
"AUS","MUS",0.16835781457572
"AUS","NLD",1.87045531993625
"AUS","NCL",1.3104883677198
"AUS","MKD",0
"AUS","VUT",0.197427597225794
"AUS","NZL",26.1706483287006
"AUS","NOR",0.0737968420556907
"AUS","PAK",5.51215510479092
"AUS","PNG",3.91542680608665
"AUS","PHL",0.249660609197912
"AUS","TLS",0.0181826439741778
"AUS","QAT",0.051138686177375
"AUS","ROU",0.0841789072878601
"AUS","SAU",0.277958751864514
"AUS","SYC",0.04208945364393
"AUS","SVN",1.59939923846934
"AUS","SGP",4.9771161565344
"AUS","ZAF",0.467553702193143
"AUS","ESP",0.484098865994602
"AUS","SWE",0.04208945364393
"AUS","CHE",1.04003039954151
"AUS","TWN",3.57682652366678
"AUS","THA",0.447876091459462
"AUS","TON",0
"AUS","OMN",0.865639763276828
"AUS","TUR",0.0534536061277912
"AUS","ARE",0.473386097912373
"AUS","TUV",0
"AUS","GBR",0.929290831769929
"AUS","UKR",0.16835781457572
"AUS","USA",3.13087939016379
"AUS","VNM",6.40808694078555
"AUS","BEL",1.7201358426365
"AUS","LUX",0.0025253672186358
"AUS","SDN",0
"AUT","ARM",0.0551190425690577
"AUT","ALB",0.00226234876216282
"AUT","DZA",0
"AUT","ARG",0.0137112046191686
"AUT","AUS",0
"AUT","BHS",0.000822672277150115
"AUT","BHR",0.0258554144247179
"AUT","BGR",1.31648131150947
"AUT","CAN",0.00521025775528406
"AUT","TCD",0
"AUT","CHL",0
"AUT","CHN",0.0723318779063524
"AUT","CYP",0
"AUT","AZE",0.164534455430023
"AUT","DNK",0.341820331155873
"AUT","BLR",0.399936251305977
"AUT","EGY",0.0822672277150115
"AUT","EST",0.148081009887021
"AUT","FIN",1.16654928899886
"AUT","FRA",1.81139778931884
"AUT","GEO",0.0133684245036894
"AUT","GMB",0
"AUT","DEU",15.4430170156899
"AUT","BIH",2.2524179325315
"AUT","GRC",0.000411336138575057
"AUT","HKG",0.00164534455430023
"AUT","HUN",9.56365181895189
"AUT","HRV",1.32784790013876
"AUT","ISL",0.0307130983469376
"AUT","IND",0
"AUT","IRN",0.175046378971386
"AUT","IRL",0.0415449499960808
"AUT","ISR",0
"AUT","ITA",18.6727685450702
"AUT","KAZ",0.021800815344478
"AUT","JPN",0.0293076998734728
"AUT","KOR",0.0242688321759284
"AUT","KWT",0.0728887637555002
"AUT","LVA",0.710240399272932
"AUT","LBN",0.000822672277150115
"AUT","MYS",0.000617004207862586
"AUT","MLT",0.452469752432563
