"reporter","partner","percentage"
"AFG","CAN",0.101011037077538
"AFG","IND",87.8518010545923
"AFG","KAZ",12.0471879083302
"ALB","AUT",0
"ALB","FRA",100
"DZA","CMR",0.00248963825008506
"DZA","EGY",0
"DZA","FRA",0.00568882340144436
"DZA","IRQ",0.00497927650017012
"DZA","ITA",49.4790705821905
"DZA","LBN",0
"DZA","MYS",0.000298756590010207
"DZA","MLI",0.00315686130110785
"DZA","MRT",22.8187793811546
"DZA","NLD",10.1129105718455
"DZA","NER",0.004331970555148
"DZA","SEN",0.0010331998737853
"DZA","TUN",8.20584767228035
"DZA","ARE",9.36103982031982
"DZA","BFA",0.000373445737512759
"ARG","AUS",0.467371323679649
"ARG","BRA",10.7047666287901
"ARG","CHL",9.41926528161267
"ARG","CHN",41.0325504668821
"ARG","COL",1.00103645213655
"ARG","CRI",0.00220979349257517
"ARG","ECU",1.38027016236484
"ARG","DEU",4.41958698515034
"ARG","JPN",0.000331469023886276
"ARG","MEX",0.0696084950161179
"ARG","NLD",16.2651850020996
"ARG","PAN",0
"ARG","PER",0.013258760955451
"ARG","ARE",0.00267661236788168
"ARG","USA",1.53489677901863
"ARG","URY",0.00891651674254082
"ARG","VEN",13.6780692706672
"AUS","BGD",0.210984806533766
"AUS","BRA",4.91101613733135
"AUS","SLB",0.00241837506730117
"AUS","BRN",0.0837942937226472
"AUS","MMR",0.157806180219416
"AUS","CAN",0.00411711004835025
"AUS","CHN",7.87029758647826
"AUS","COL",0.10001502397538
"AUS","EGY",0.593895259905046
"AUS","FJI",0.976371832620061
"AUS","PYF",0.00256251662760389
"AUS","DEU",0.0392961924843056
"AUS","HKG",0.851944133846372
"AUS","IND",0.660981945215716
"AUS","IDN",2.7555806342598
"AUS","ISR",0.0192188747070292
"AUS","ITA",1.94200749709065
"AUS","JPN",7.12694753780062
"AUS","KHM",0.00452924813928987
"AUS","KOR",16.5965121051605
"AUS","MYS",15.0296493014154
"AUS","NLD",0.00890047441987751
"AUS","NCL",0.0839352321371654
"AUS","VUT",0.000136667553472207
"AUS","NZL",16.1162220888068
"AUS","NIC",0.960943735351458
"AUS","PAK",3.20314578450486
"AUS","PNG",0.0843476371569204
"AUS","PER",0.256251662760389
"AUS","PHL",1.97944871226064
"AUS","TLS",3.84377494140583e-05
"AUS","SEN",0
"AUS","SVN",0.0269064245898408
"AUS","SGP",3.32031161579076
"AUS","ZAF",0.0159260408405582
"AUS","TWN",5.59020492745007
"AUS","THA",0.175276777957263
"AUS","TON",0.00256251662760389
"AUS","OMN",1.72329243206361
"AUS","TUR",0.0961097486349115
"AUS","ARE",0.976785912011477
"AUS","GBR",0.0830493335316223
"AUS","USA",3.00295942303982
"AUS","VNM",2.30589126450197
"AUS","YEM",0.0474065576106719
"AUT","ARM",0.0692609985594553
"AUT","ALB",4.86484641286497e-05
"AUT","DZA",0
"AUT","ARG",0.00350268941726278
"AUT","AUS",0.0134118410217784
"AUT","BHS",2.16215396127332e-05
"AUT","BHR",6.48646188381996e-05
"AUT","BOL",5.4053849031833e-05
"AUT","BRA",0.00561919790602033
"AUT","BGR",0.0413169604049654
"AUT","CAN",7.92789785800217e-05
"AUT","LKA",0
"AUT","CHL",0.000367566173416464
"AUT","CHN",0.109631033809109
"AUT","COL",7.02700037413829e-05
"AUT","CRI",0.000108107698063666
"AUT","CYP",0.000401199679480716
"AUT","DNK",0.033769756083716
"AUT","ECU",2.16215396127332e-05
"AUT","EGY",0.000194593856514599
"AUT","SLV",3.24323094190998e-05
"AUT","EST",0.00358299799296721
"AUT","FIN",0.00887924560096243
"AUT","FRA",0.118318830504773
"AUT","DEU",36.8607417624351
"AUT","BIH",0.87099561529746
"AUT","GHA",0
"AUT","GRC",1.33505655785159
"AUT","GTM",0
"AUT","HKG",0.000151350777289132
"AUT","HUN",12.5677646164177
"AUT","HRV",0.201362536389153
"AUT","ISL",0.00187026317650142
"AUT","IND",0.00541619567298967
"AUT","IDN",0.0132713010142956
"AUT","IRN",0.000389187713029197
"AUT","IRQ",0.000180179496772777
"AUT","IRL",0.00464322563183445
"AUT","ISR",0.65942607027463
"AUT","ITA",3.35403543564171
"AUT","KAZ",0
"AUT","JPN",0.000123551654929904
"AUT","KEN",9.18915433541161e-05
"AUT","KOR",0.00461499751067338
"AUT","KWT",0.0205404626320965
"AUT","LVA",0.000513511565802413
"AUT","LAO",0.000562160029931063
"AUT","LBN",0
"AUT","LBY",0
"AUT","LTU",0.273351297351235
"AUT","MYS",0.0150125556711077
"AUT","MLT",0.279593534117156
"AUT","MEX",0.00740620891503853
"AUT","MNG",0.000313512324384631
"AUT","MAR",0.00105945544102393
"AUT","MDA",0
"AUT","NLD",0.655515660396099
"AUT","MKD",0.234169922621746
"AUT","NIC",0
"AUT","NGA",0
"AUT","NOR",0.280507044165794
"AUT","PAK",1.08107698063666e-05
"AUT","CZE",8.26559420204273
"AUT","PER",0.000616213878962896
"AUT","PHL",9.72969282572994e-05
"AUT","POL",19.0664876822331
"AUT","PRT",0.000484322487325224
"AUT","QAT",1.44143597418221e-05
"AUT","ZWE",0
"AUT","ROU",0.580676913014859
"AUT","RWA",0
"AUT","RUS",0.426352256751537
"AUT","SAU",0.0019756681821135
"AUT","SLE",0.0497295411092863
"AUT","SVN",6.550289651554
"AUT","SVK",5.76864598782354
"AUT","SGP",0.0191566840968816
"AUT","ZAF",0.0017389895431384
