"reporter","partner","percentage"
"ARM","GEO",98.1989708404803
"ARM","IRN",0
"ARM","RUS",1.15659311374054
"ARM","USA",0.644436045779186
"AFG","BRN",0.241223449407162
"AFG","CAN",0.0894291812436308
"AFG","NOR",0.00196702048297067
"AFG","PAK",99.6638397119969
"AFG","SVK",0
"AFG","TZA",0.0035406368693472
"ALB","GRC",9.94386387644815
"ALB","ITA",2.93339619182316
"ALB","MKD",39.8758544825961
"ALB","SRB",8.65875697336372
"DZA","CAN",0.00531587241782688
"DZA","CHN",0
"DZA","FRA",0.348659217480986
"DZA","DEU",0.00065261435185959
"DZA","GIN",0.244730381947346
"DZA","CIV",0.0163153587964897
"DZA","LBY",64.4350296321992
"DZA","MRT",0.61998363426661
"DZA","NLD",0.00114207511575428
"DZA","NER",7.27121157030227
"DZA","SAU",0.326307175929795
"DZA","SEN",0.0282464263236287
"DZA","ESP",0.000309142827874664
"DZA","SWE",0.358937893522774
"DZA","TUN",15.7454633137284
"DZA","TUR",0
"DZA","ARE",10.2713885148594
"DZA","GBR",0.326307175929795
"ATG","CHN",0.0171433652220838
"ATG","LCA",0
"ATG","ZAF",99.9828566347779
"ARG","ARM",0.00125742347133774
"ARG","AFG",0.000587930433895755
"ARG","ALB",0.00142779920021981
"ARG","DZA",2.15806815057702
"ARG","ATG",0.000438335880141586
"ARG","AUS",0.817956446089925
"ARG","AUT",2.83331630908621e-05
"ARG","BRB",0.00249402905910369
"ARG","BGD",2.48280534405616
"ARG","BOL",0.013224434977123
"ARG","BRA",0.228385361385114
"ARG","BRN",0.0207246054606933
"ARG","BGR",0.0331213584725079
"ARG","MMR",0.0293303814047262
"ARG","BDI",1.35937672577053e-05
"ARG","CMR",0.0509075605928436
"ARG","CAN",0.00243211142346979
"ARG","CPV",0.000496172504906244
"ARG","LKA",0.0200677220263636
"ARG","TCD",0.00148398625896616
"ARG","CHL",0.925201395484868
"ARG","CHN",21.4022212497907
"ARG","COL",1.02645189423511
"ARG","COG",0.0054512912496259
"ARG","CRI",0.0137616663614363
"ARG","CUB",0.2468702347936
"ARG","CYP",0.149374101717875
"ARG","AZE",0.000920977731709536
"ARG","BEN",0.00107254823663295
"ARG","DNK",1.86891092595121
"ARG","DMA",0.000729109258959946
"ARG","DOM",0.515323862528911
"ARG","BLR",0.268528596561415
"ARG","ECU",0.639461065694456
"ARG","EGY",3.58733323246631
"ARG","SLV",0.0251518132691687
"ARG","GNQ",0.000530156923050508
"ARG","EST",6.79688362885266e-06
"ARG","FJI",0.00517854563682284
"ARG","FIN",0.163804895455349
"ARG","FRA",0.829112224389012
"ARG","DJI",0.000803391644930385
"ARG","GEO",0.0260856651071503
"ARG","GAB",0.00176175223659861
"ARG","GMB",0.00238806240671862
"ARG","DEU",0.589872795144984
"ARG","GHA",0.0885553153109611
"ARG","GRC",0.554856021590737
"ARG","GRD",0.000485501397608946
"ARG","GTM",0.214572552492669
"ARG","GIN",0.00239476866523242
"ARG","GUY",0.0080440755247011
"ARG","HTI",0.0496700441513976
"ARG","HND",0.0149731813946134
"ARG","HKG",0.049682337955714
"ARG","HUN",0.022405611642435
"ARG","HRV",0.0214617606374375
"ARG","IND",10.2805886047977
"ARG","IDN",3.42712313145505
"ARG","IRN",3.31840405670185
"ARG","IRQ",0.33231779662574
"ARG","IRL",0.618611551917812
"ARG","ISR",0.133670254111498
"ARG","ITA",3.71634409000904
"ARG","CIV",0.0603267903690138
"ARG","JAM",0.0320450107984298
"ARG","JPN",0.117219198924358
"ARG","JOR",0.412739302386286
"ARG","KGZ",0.00630750800757527
"ARG","KEN",0.0283727462240468
"ARG","KOR",1.67894093256617
"ARG","KWT",0.0250640004634669
"ARG","LVA",0.329770334489501
"ARG","LBN",0.245754256471816
"ARG","LSO",0.000999141893441342
"ARG","LBR",0.0157516409495396
"ARG","LBY",0.33099477735595
"ARG","LTU",0.147200515230358
"ARG","MDG",0.111625521895955
"ARG","MWI",0.00165843960544005
"ARG","MYS",2.63046233090104
"ARG","MLT",0.0121289927029933
"ARG","MRT",0.00262926115042784
"ARG","MUS",0.160089598841925
"ARG","MEX",0.0283885133537921
"ARG","MNG",0.00210023704131547
"ARG","MAR",1.12262847963172
"ARG","MOZ",0.310389553746091
"ARG","MDA",5.43750690308213e-05
"ARG","NAM",0.00131716915486489
"ARG","NPL",0.0204005882533522
"ARG","NLD",3.56245653500553
"ARG","MKD",0.00210711081276818
"ARG","NZL",0.200402475561006
"ARG","NIC",0.0557614663484197
"ARG","NGA",0.0635736492750438
"ARG","NOR",0.00829717797466357
"ARG","PAK",0.578715402449217
"ARG","PAN",0.106956937321106
"ARG","PRY",0.0160662878377873
"ARG","PER",2.07075296001502
"ARG","PHL",1.54348356182107
"ARG","POL",2.20110309702608
"ARG","PRT",0.288202687870881
"ARG","GNB",0.00159726765278038
"ARG","ERI",0.000180117416164596
"ARG","ZWE",0.0153745507684647
"ARG","ROU",0.216647145915964
"ARG","RWA",0.0311705083219183
"ARG","RUS",0.221779974424347
"ARG","LCA",0.000172187718597601
"ARG","VCT",0.000224229190915849
"ARG","SAU",0.616904941636389
"ARG","SEN",0.119825139388913
"ARG","SVN",0.0819303343499423
"ARG","SGP",0.0102399883499516
"ARG","ZAF",1.66984870883921
"ARG","ESP",4.16988319309927
"ARG","SUR",0.0112588999140417
"ARG","TJK",0.00527778013780409
"ARG","SWZ",0.00119795073958528
"ARG","SWE",0.00292947734745519
"ARG","CHE",0.00253247073030072
"ARG","SYR",0.781882620066159
"ARG","TWN",0.148299369888402
"ARG","TZA",0.0410814103271899
"ARG","THA",2.15729471692795
"ARG","TGO",0.000165390834968748
"ARG","TTO",0.0328741730963802
"ARG","OMN",0.0808169627302388
"ARG","TUN",0.66054424277204
"ARG","TUR",1.19295109765537
"ARG","ARE",0.371808766575438
"ARG","GBR",1.37562662491205
"ARG","UKR",0.000412118735867085
"ARG","USA",0.122920455383731
"ARG","BFA",0.000829219802720025
"ARG","URY",0.101843478736975
"ARG","UZB",0.139234872349417
"ARG","VEN",1.16258231994976
"ARG","VNM",3.81638751432621
"ARG","ETH",0.000339844181442633
"ARG","YEM",0.257342053283821
"ARG","COD",0.00655375314613716
"ARG","ZMB",0.00235512017739745
"ARG","BEL",0.616771529828154
"ARG","PSE",0.00116906398416266
"AUS","BHR",2.84870294509044e-05
"AUS","BGD",0.000740662765723515
"AUS","BWA",0.00337266080820529
"AUS","SLB",0.100054216621427
"AUS","BRN",0.0114652663085573
"AUS","CAN",0.399844284504198
"AUS","LKA",2.4686716362103
"AUS","CHL",0.00852067398754731
"AUS","CHN",0.125980581216421
"AUS","COL",1.06913347620108
"AUS","COK",0.0542880663111587
"AUS","DNK",0.0224844053880353
"AUS","FJI",8.72932813769755
"AUS","FRA",0.0163189982997324
"AUS","PYF",0.0027639201193437
"AUS","DEU",0.0158140317895848
"AUS","KIR",0.00726564592985058
"AUS","GRC",0.00142435147254522
"AUS","HKG",0.0695046892421346
"AUS","IND",0.324715255211111
"AUS","IDN",18.8673763777565
"AUS","IRL",0.00806454238502985
"AUS","ISR",0.00852067398754731
"AUS","ITA",0.00899376215521411
"AUS","JAM",0
"AUS","JPN",8.47085917061506
"AUS","KGZ",0.00112422026940176
"AUS","KHM",0.0196200055083494
"AUS","KOR",6.56511203223297
"AUS","KWT",0.00901665351816574
"AUS","MYS",3.9593382773421
"AUS","MDV",4.98523015390828e-05
"AUS","MUS",0.000270626779783592
"AUS","MEX",0.000449688107760706
"AUS","NPL",0.920232790655109
"AUS","NLD",0.146062156539968
"AUS","NCL",1.40992284299803
"AUS","VUT",0.00174873056385225
"AUS","NZL",19.4456302190912
"AUS","PAK",0.0186620564720693
"AUS","PNG",2.92721122402848
"AUS","PHL",1.08965014487452
"AUS","TLS",0.000833923874044929
"AUS","ROU",0.0639050549066048
"AUS","RUS",0.00142435147254522
"AUS","SAU",0.182234732188249
"AUS","SGP",1.02054274310911
"AUS","SOM",0.000185165691430879
"AUS","ZAF",0.0624653407860343
"AUS","SWE",0.00498523015390828
"AUS","CHE",0
"AUS","TWN",12.9754730633498
"AUS","TZA",0.022934093495796
"AUS","THA",2.29854790099559
"AUS","OMN",0.00852067398754731
"AUS","TUR",0.00247328459268388
"AUS","ARE",0.120786361397047
"AUS","TUV",0.0463931622486158
"AUS","GBR",0.0140909056391081
"AUS","UKR",0.0212513239703747
"AUS","USA",0.11155413124003
"AUS","VNM",5.63872477147408
"AUS","BEL",0.0558961300552648
"AUT","ARM",0.00148978194969593
"AUT","ALB",5.47965774600801e-06
"AUT","DZA",0.043979961388533
"AUT","AUS",0.303527432394062
"AUT","BHR",0.0227063317850207
"AUT","BRA",1.59823350925234e-05
"AUT","BGR",0.123773675167994
"AUT","CMR",2.3973502638785e-06
"AUT","CAN",0.0131681740913971
"AUT","CHL",4.7547446900257e-05
"AUT","CHN",0.00856928856239598
"AUT","COL",0
"AUT","COG",0
"AUT","CRI",9.56086117142022e-06
"AUT","CUB",0
"AUT","CYP",0.0055315692006397
"AUT","AZE",0.0105918416524012
"AUT","DNK",0.119081456030807
"AUT","DMA",0
"AUT","BLR",0.000885973135218274
"AUT","EGY",0.00191003174297701
"AUT","GNQ",0
"AUT","EST",0.0751703814520828
"AUT","FIN",0.175349380837571
"AUT","FRA",1.14154292560645
"AUT","GEO",0.000185441464384923
"AUT","GMB",0
"AUT","DEU",40.7826778828624
"AUT","BIH",0.321640207046442
"AUT","GRC",0.00186527113181768
"AUT","HKG",7.99116754626168e-07
"AUT","HUN",5.62238422098982
"AUT","HRV",1.66747709668657
"AUT","ISL",0
"AUT","IND",2.23086760666472e-05
"AUT","IDN",0
"AUT","IRN",2.05665539750886e-05
"AUT","IRQ",1.9178802111028e-06
"AUT","IRL",0.0153998895704517
"AUT","ISR",0.00499977998060239
"AUT","ITA",9.85593974733588
"AUT","KAZ",0.0161136399642679
"AUT","JPN",5.46334924081155e-05
"AUT","JOR",0.00332717968765424
"AUT","KGZ",7.35187414256074e-06
"AUT","PRK",0
"AUT","KOR",0.00168673093317983
"AUT","KWT",0
"AUT","LVA",0.00840392452228029
"AUT","LBN",0.00506297543823865
"AUT","LBY",4.26195602467289e-06
"AUT","LTU",0.280438930631777
"AUT","MYS",9.56086117142022e-06
"AUT","MLT",0.00315117965861622
"AUT","MAR",0
"AUT","MDA",0.000235756090880441
"AUT","NLD",2.45653761429223
"AUT","MKD",0.00201874016149026
"AUT","NZL",0.0292391112540896
"AUT","NGA",0.000435290312198511
"AUT","NOR",0.0372680682014264
"AUT","CZE",9.95895161406488
"AUT","PHL",0.110609845481175
"AUT","POL",0.553738063453829
"AUT","PRT",0.157618752323258
"AUT","QAT",3.18695372380674e-05
"AUT","ROU",1.63317490232104
"AUT","RUS",0.242290195075796
"AUT","SAU",1.91217223428404e-06
"AUT","SEN",0.0544969086770952
"AUT","SYC",0
"AUT","SLE",6.69260281999415e-05
"AUT","SVN",10.6140266007191
"AUT","SVK",5.87236834915128
"AUT","ZAF",0.0053803770025404
"AUT","ESP",0.528398112677192
"AUT","SWE",0.0360594585952876
"AUT","CHE",3.13176886425052
"AUT","TKM",3.19646701850467e-06
"AUT","TWN",0.00107559688178477
"AUT","THA",0.000938914620212257
"AUT","TUR",0.00101078280500777
"AUT","ARE",2.60569141776318e-05
"AUT","GBR",0.200149493652659
"AUT","UKR",0.188868193383672
"AUT","USA",0.00700674540134082
"AUT","UZB",0.000744890974847963
"AUT","VNM",0.0423226503192065
"AUT","BEL",2.97201805392705
"AUT","LUX",0.000160976045132799
"AUT","SRB",0.333203960181715
"AUT","MNE",8.35779528808192e-05
"BHS","HTI",98.8539687180237
"BHS","USA",1.14603128197632
"BHR","DJI",0.056256598063894
"BHR","IRQ",0.00175801868949669
"BHR","JOR",0.126200627353155
"BHR","KWT",0.361754202951789
"BHR","LBR",2.77515807413406
"BHR","PAK",0.0105481121369801
"BHR","QAT",3.05644106445353
"BHR","SAU",6.84290357547934
"BHR","OMN",21.1648602536294
"BHR","ARE",65.4200193373684
"BHR","USA",0.184100135739972
"BHR","BEL",0
"BRB","ATG",4.11799385979706
"BRB","CUB",0.00186804694978395
"BRB","DMA",9.98782435817817
"BRB","DOM",1.27027192585308
"BRB","FRA",1.59394698388296
"BRB","GRD",18.1948874175161
"BRB","GUY",2.75997462061512
"BRB","JAM",2.76470948568024
"BRB","KNA",2.516045750279
"BRB","LCA",14.8056761109465
"BRB","VCT",13.1181087200106
"BRB","SUR",12.3131025658086
"BRB","TTO",16.5096361995181
"BRB","GBR",0
"BRB","USA",0.0459539549646851
"BGD","AUS",0.0171570516709549
"BGD","BTN",6.31004734976021
"BGD","CAN",5.71628303215028e-05
"BGD","CHN",0.21982899670833
"BGD","CYP",3.87890634324483e-05
"BGD","FRA",3.87890634324483e-05
"BGD","HKG",0
"BGD","IND",33.2689300834085
"BGD","JOR",0.0033096476726643
"BGD","KHM",0.959574715046138
"BGD","KOR",0
"BGD","NPL",59.214241343928
"BGD","QAT",0.000289897210916193
"BGD","SAU",0.00575524526104448
"BGD","SGP",6.53289489388603e-05
"BGD","CHE",2.04152965433938e-06
"BGD","OMN",4.07090734645056e-05
"BGD","ARE",0.000622848824006935
"BTN","IND",73.3044787734538
"BTN","PER",26.6955212265462
"BOL","AFG",0.040112333358494
"BOL","DZA",0.639464991930699
"BOL","ARG",1.76736968411015
"BOL","AUS",0.0382179632569359
"BOL","BRB",0.0904293927982807
"BOL","BGD",0.106586924472562
"BOL","BRA",0.332906542432132
"BOL","BGR",0.00206695754967499
"BOL","MMR",0.454191124215163
"BOL","CMR",0.199366560822359
"BOL","CAN",0.0036170782874615
"BOL","CHL",3.17846305872473
"BOL","COL",39.8643458431385
"BOL","CRI",0.154924927590483
"BOL","CUB",0.010722342288939
"BOL","BEN",0.00142103331540155
"BOL","DOM",0.226929185469409
"BOL","ECU",7.56710955965047
"BOL","EGY",0.443595044038987
"BOL","SLV",0.595109969052408
"BOL","FIN",0
"BOL","GHA",0.23165349285529
"BOL","GTM",0.0136706795313176
"BOL","HRV",0.0343275119074275
"BOL","IND",0.644941390892491
"BOL","IDN",0.0478368272895404
"BOL","ITA",0.378552377078229
"BOL","JAM",0.413520694781852
"BOL","JPN",0.037528088408758
"BOL","KWT",0.074154635130803
"BOL","MDG",0.039457567853593
"BOL","MYS",0.246269324049526
"BOL","MEX",0.00150715654663801
"BOL","NPL",0.113682665232124
"BOL","NLD",0.028125591945353
"BOL","NZL",0.00391646368292489
"BOL","NIC",0.258369693709373
"BOL","PAK",0.0205011529447136
"BOL","PAN",0.0204509007832559
"BOL","PRY",0.20754763453077
"BOL","PER",16.3910461368312
"BOL","PHL",0.0703713994102264
"BOL","POL",0.231151294069978
"BOL","PRT",0.613758814910367
"BOL","TLS",0.000762833597942833
"BOL","ROU",0.265046533605237
"BOL","SGP",4.89557960365611e-05
"BOL","ESP",0.797727401454142
"BOL","TWN",0.096720334369566
"BOL","THA",0.0122389490091403
"BOL","TUR",0.833030948537897
"BOL","GBR",0.0134138881140178
"BOL","USA",0.09346327429219
"BOL","URY",3.19042681033221
"BOL","VEN",17.9618375830503
"BOL","VNM",0.689821983225014
"BOL","COD",0.0391715052543645
"BOL","BEL",0.0190708399485708
"BWA","MWI",81.4631388597066
"BWA","NAM",1.56825614191597
"BWA","NOR",0
"BWA","ZWE",1.57502821237886
"BWA","ZAF",13.2530713769447
"BWA","GBR",0
"BWA","ZMB",2.14050540905384
"BRA","AFG",0.00260410589909627
"BRA","ALB",0.000142429400770849
"BRA","DZA",0.495890859430549
"BRA","ATG",0.00085619542724014
"BRA","ARG",0.155359802647746
"BRA","AUS",0.130546966663913
"BRA","AUT",7.66927542612266e-05
"BRA","BHS",0.0224324677140212
"BRA","BHR",0.000910000706539138
"BRA","BRB",1.27471445232581e-06
"BRA","BGD",0.740875364377196
"BRA","BOL",0.143380636052766
"BRA","BLZ",8.32029490465934e-05
"BRA","BGR",0.0151314810034239
"BRA","MMR",0.0875670386844837
"BRA","CMR",0.00105592701478103
"BRA","CAN",0.00521643954826826
"BRA","CPV",0.00185620170154497
"BRA","LKA",0.0109380106280754
"BRA","CHL",0.101716967605848
"BRA","CHN",48.5785949578237
"BRA","COL",0.0571869711691577
"BRA","COM",4.18934694869754e-07
"BRA","COG",6.42632585923593e-05
"BRA","COK",5.56620646690676e-07
"BRA","CRI",0.00232575810652706
"BRA","CUB",0.314796715349151
"BRA","CYP",0.0125767928504718
"BRA","BEN",6.32809671859875e-05
"BRA","DNK",0.235887429792717
"BRA","DMA",0.000205427807419278
"BRA","DOM",0.034515877798969
"BRA","ECU",0.0189848529786074
"BRA","EGY",0.351489093369494
"BRA","SLV",0.000253324240982779
"BRA","GNQ",0.000271163509436853
"BRA","EST",0.000195840426059918
"BRA","FJI",0.00520285687809479
"BRA","FIN",0.0214285406042179
"BRA","FRA",3.58869590521656
"BRA","PYF",0.00528906101708673
"BRA","GEO",0.0488798293550958
"BRA","GAB",7.8291884241293e-05
"BRA","GMB",0.00442809354960653
"BRA","DEU",2.87673137887877
"BRA","BIH",1.84584179724314e-05
"BRA","GHA",0.00573103156566157
"BRA","KIR",0
