"reporter","partner","percentage"
"AFG","FRA",2.3121387283237
"AFG","DEU",79.6531791907514
"AFG","ARE",2.3121387283237
"AFG","BEL",15.7225433526012
"DZA","CYP",5.52614487419746
"DZA","KHM",5.07404726305891
"DZA","KOR",0.336578468449574
"DZA","MAR",34.2830540352207
"DZA","MDA",0.0027907259946824
"DZA","MKD",0.114166063418825
"DZA","POL",1.18394436138041
"DZA","RUS",24.9419867262924
"DZA","THA",1.59747921331971
"DZA","OMN",0.120762324860802
"DZA","TUN",0.456664253675302
"DZA","TUR",25.7940883966687
"DZA","UKR",0.568293293462597
"ARG","BRA",NA
"AUS","BRA",0
"AUS","CAN",0.0103151271339419
"AUS","LKA",0.0103151271339419
"AUS","FJI",6.30254267883852
"AUS","IND",0.794264789313528
"AUS","JPN",17.1024807880757
"AUS","KOR",2.67161792769096
"AUS","MYS",0.299138686884316
"AUS","VUT",4.33235339625561
"AUS","NZL",15.6721164921691
"AUS","SGP",0
"AUS","ESP",11.3156944659343
"AUS","TWN",18.7013254938367
"AUS","GBR",1.49569343442158
"AUS","USA",20.4359860401946
"AUT","ITA",NA
"AUT","CHE",NA
"BHR","KWT",100
"BRB","BRA",0
"BRB","BLZ",13.3333333333333
"BRB","CRI",0
"BRB","DOM",26.6666666666667
"BRB","FRA",0
"BRB","GUY",13.3333333333333
"BRB","JAM",46.6666666666667
"BRB","PAN",0
"BRB","SEN",0
"BRB","ZAF",0
"BGD","BHR",0.192014593109076
"BGD","FRA",2.08015809201499
"BGD","IRL",0.0240018241386345
"BGD","JPN",7.20854784963657
"BGD","KWT",1.6945287841876
"BGD","MYS",0.432032834495422
"BGD","MDV",0.0240018241386345
"BGD","CZE",57.3643596913365
"BGD","SAU",27.2240690292462
"BGD","SGP",0.0240018241386345
"BGD","SWE",0.252019153455663
"BGD","CHE",0.0240018241386345
"BGD","OMN",1.10408391037719
"BGD","ARE",2.35217876558618
"BWA","NAM",20.6349206349206
"BWA","ZWE",79.3650793650794
"BWA","USA",0
"BRA","AUS",0.00376548555936288
"BRA","AUT",0
"BRA","CHN",0.0649546258990097
"BRA","CYP",0.20898444854464
"BRA","DNK",0.0753097111872576
"BRA","DEU",0.0602477689498061
"BRA","GRC",0.0583650261701246
"BRA","HKG",0.0112964566780886
"BRA","IND",0.0112964566780886
"BRA","ITA",0.0263583989155402
"BRA","JPN",0.0150619422374515
"BRA","MYS",0.0188274277968144
"BRA","NLD",0.030123884474903
"BRA","PAN",0.00376548555936288
"BRA","PRY",33.8893700342659
"BRA","PHL",0.030123884474903
"BRA","PRT",0.0263583989155402
"BRA","SGP",0.110140452611364
"BRA","SWE",0.0150619422374515
"BRA","CHE",0.030123884474903
"BRA","THA",0.0282411416952216
"BRA","TUR",0.0288687226217821
"BRA","ARE",0.0464409885654755
"BRA","GBR",0.140264337086267
"BRA","USA",65.0374665813157
"BRA","BEL",0.0178860564069737
"BRN","CZE",NA
"BGR","CYP",0.0585480093676815
"BGR","GRC",1.44906323185012
"BGR","NLD",96.3846604215457
"BGR","ROU",2.10772833723653
"BDI","COD",99.9971953871768
"BDI","BEL",0.00280461282319976
"CMR","AUT",4.52643590718905
"CMR","CAN",0.266260935717003
"CMR","COG",0
"CMR","FRA",21.1867630277672
"CMR","SWE",0.266260935717003
"CMR","CHE",8.52034994294409
"CMR","BEL",65.2339292506657
"CAN","ATG",0
"CAN","BRB",0
"CAN","DOM",27.2959183673469
"CAN","SLV",0
"CAN","FRA",15.0510204081633
"CAN","GRD",0
"CAN","GUY",0
"CAN","HKG",5.35714285714286
"CAN","JAM",0
"CAN","KOR",46.6836734693878
"CAN","LBN",2.55102040816327
"CAN","PER",0
"CAN","LCA",0
"CAN","VCT",1.27551020408163
"CAN","SEN",1.78571428571429
"CAN","TTO",0
"LKA","CHN",0.240673886883273
"LKA","FRA",8.06257521058965
"LKA","DEU",7.09987966305656
"LKA","MDV",53.6702767749699
"LKA","NOR",1.08303249097473
"LKA","CHE",7.5812274368231
"LKA","GBR",22.2623345367028
"CHN","AUS",0.00671382155775561
"CHN","BGD",0.775925948603469
"CHN","BRN",0.0460376335388956
"CHN","MMR",1.58254365289954
"CHN","CAN",2.74364514096156
"CHN","DNK",1.6185105541018
"CHN","FRA",0.205191171358906
"CHN","DEU",0.0332693836120925
"CHN","HKG",39.1944809989002
"CHN","IND",0
"CHN","ITA",0.231215793443114
"CHN","JPN",0.0719338024045244
"CHN","KHM",0.206809681913008
"CHN","LAO",21.5801407213573
"CHN","MAC",26.8790543582336
"CHN","MYS",2.02619537922944
"CHN","NLD",0.611047679008766
"CHN","PHL",0.0647404221640719
"CHN","ROU",0.0359669012022622
"CHN","SGP",0.138352679958035
"CHN","ESP",0.361467357082735
"CHN","THA",0.204291998828849
"CHN","ARE",0.101786330402402
"CHN","GBR",0.218216327722868
"CHN","USA",0.0361467357082735
"CHN","VNM",0.990348624604289
"CHN","BEL",0.0359669012022622
"COL","BRA",1.19570832950066e-05
"COL","CHL",0.0626312022992446
"COL","CRI",0.000286969999080159
"COL","DOM",7.17424997700397e-05
"COL","DEU",0.000131527916245073
"COL","ITA",0.0191313332720106
"COL","MAR",0.00700685081087387
"COL","NLD",0.000454369165210251
"COL","RUS",0
"COL","CHE",0
"COL","USA",0.00137506457892576
"COL","VEN",99.9088989823753
"CRI","CAN",14.6104166109729
"CRI","CHN",1.13687675676937
"CRI","COL",0.00170531513515405
"CRI","DOM",0.227375351353874
"CRI","FRA",0.288292997570766
"CRI","DEU",0.00947397297307807
"CRI","GTM",0
"CRI","HND",0.0909501405415495
"CRI","ITA",0.253198694829064
"CRI","JOR",0.859478828117643
"CRI","MEX",35.8116178382351
"CRI","NLD",7.95754179051299
"CRI","NIC",0.113687675676937
"CRI","PAN",0
"CRI","PRT",0.124488004866246
"CRI","ESP",0.766368621738232
"CRI","GBR",1.02659971136274
"CRI","USA",36.5410379653784
"CRI","BEL",0.180889723965971
"CUB","IRN",NA
"CYP","BGR",0.038691332022342
"CYP","EGY",81.3679956079811
"CYP","ISR",6.15134142157205
"CYP","ITA",2.10259752875699
"CYP","JOR",0.845681971345476
"CYP","LBN",0.795935973031036
"CYP","MAR",1.09441196291767
"CYP","RUS",0.0132655995505173
"CYP","ESP",2.82524106427141
"CYP","GBR",0.00331639988762932
"CYP","USA",4.76152113866379
"DNK","FRO",0.571712652249565
"DNK","CHE",99.4282873477504
"DMA","ATG",0
"DMA","FRA",0
"DMA","KNA",100
"ECU","CHL",30.8641975308642
"ECU","NZL",7.40740740740741
"ECU","ESP",46.2962962962963
"ECU","CHE",0
"ECU","GBR",0
"ECU","URY",15.4320987654321
"EGY","AUS",0.00551259061055788
"EGY","AUT",0.0850702983021292
"EGY","BHR",0.565040537582182
"EGY","CYP",0.459309049671682
"EGY","FRA",0.0495581895889153
"EGY","DEU",0.135977235060428
"EGY","GRC",0.0232998829806246
"EGY","HUN",0.202422327219685
"EGY","ITA",0.15827435155856
"EGY","JPN",0.0771762685478103
"EGY","JOR",0.617410148382482
"EGY","KEN",18.7428080758968
"EGY","KWT",3.54665379641666
"EGY","LBN",0.427068269729362
"EGY","LBY",0.702855302846129
"EGY","MDV",0.00044100724884463
"EGY","MAR",0.110251812211158
"EGY","NLD",0.0141122319630282
"EGY","QAT",0.997920652840962
"EGY","ROU",0.174197863293629
"EGY","SAU",47.4846074284824
"EGY","ESP",0.275629530527894
"EGY","CHE",0.0208155421454665
"EGY","SYR",0.435494658234072
"EGY","OMN",1.68134013622015
"EGY","ARE",3.27719101725177
"EGY","USA",19.5366211238171
"EGY","PSE",0.044100724884463
"SLV","CAN",87.5
"SLV","USA",12.5
"FJI","AUS",2.49048772051193
"FJI","CAN",0
"FJI","NAM",4.04704254583189
"FJI","NZL",62.331373227257
"FJI","TON",31.1310965063992
"FIN","USA",NA
"FRA","ARG",12.9800560408769
"FRA","AUT",0
"FRA","CAN",0.036055711224658
"FRA","CHN",0.0036055711224658
"FRA","DNK",0.0703086368880831
"FRA","DEU",0.868041247733641
"FRA","HUN",0.0432668534695896
"FRA","IRN",0.0036055711224658
"FRA","IRL",0.0018027855612329
"FRA","ITA",0.138556947420471
"FRA","CIV",0
"FRA","LVA",0
"FRA","MDG",2.16334267347948
"FRA","NLD",0.123490810944454
"FRA","CZE",0.0216334267347948
"FRA","POL",5.76891379594528
"FRA","PRT",0.0673039942860282
"FRA","SVN",0.0054083566836987
"FRA","ESP",0.19289805505192
"FRA","SWE",0.0576891379594528
"FRA","CHE",0.246208999505522
"FRA","OMN",0.659819515411241
"FRA","GBR",0.160447914949728
"FRA","USA",0
"FRA","BEL",76.3532910279655
"FRA","LUX",0.0342529256634251
"DEU","AUT",1.84376659389935
"DEU","DNK",0.0331877986901882
"DEU","FRA",3.06655259897339
"DEU","HUN",1.65938993450941
"DEU","ITA",0
"DEU","KAZ",0.0663755973803764
"DEU","NLD",5.24367219304974
"DEU","NOR",0.464629181662635
"DEU","CZE",74.3406690660216
"DEU","POL",1.20582335241017
"DEU","SWE",9.82358841229571
"DEU","CHE",0.199126792141129
"DEU","GBR",0.221251991267921
"DEU","UKR",0.265502389521506
"DEU","BEL",0.0663755973803764
"DEU","LUX",1.50008850079651
"GHA","BHR",17.5415282392027
"GHA","CAN",7.9734219269103
"GHA","DEU",40.4651162790698
"GHA","NLD",15.1495016611296
"GHA","CHE",0.79734219269103
"GHA","GBR",12.4916943521595
"GHA","USA",0.79734219269103
"GHA","BEL",4.78405315614618
"GRC","GBR",100
"GRD","GBR",100
"GTM","SLV",86.090775988287
"GTM","HND",13.4699853587116
"GTM","USA",0.439238653001464
"GIN","AUS",99.047619047619
"GIN","BEL",0.952380952380952
"GUY","BRB",0.133155792276964
