"iso3","P0"
"ARM",0
"AFG",0
"ALB",0
"DZA",0
"ATG",0
"ARG",4939214000
"AUS",96316426266.6667
"AUT",0
"BHS",1635444766.66667
"BHR",0
"BRB",868021700
"BGD",0
"BMU",0
"BTN",97576033.3333333
"BOL",14918728533.3333
"BWA",0
"BRA",321459063333.333
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",0
"MMR",0
"BDI",0
"CMR",89030091966.6667
"CAN",0
"CPV",0
"CAF",9796623433.33333
"LKA",22475530000
"TCD",0
"CHL",191276914966.667
"CHN",137734566666.667
"COL",929701534066.667
"COM",0
"COG",10839539433.3333
"COK",25704000
"CRI",18229332333.3333
"CUB",4213183100
"CYP",1213800000
"AZE",0
"BEN",0
"DNK",0
"DMA",446071500
"DOM",761642534566.667
"BLR",0
"ECU",35403563066.6667
"EGY",0
"SLV",35349525166.6667
"GNQ",0
"EST",0
"FRO",0
"FJI",0
"FIN",0
"FRA",2070600000
"PYF",137286333.333333
"DJI",0
"GEO",0
"GAB",0
"GMB",0
"DEU",0
"BIH",1233141466.66667
"GHA",10852399366.6667
"KIR",0
"GRC",12578300000
"GRL",0
"GRD",1847629700
"GTM",157796602133.333
"GIN",0
"GUY",8421717266.66667
"HTI",248489532666.667
"HND",2616397466.66667
"HKG",0
"HUN",0
"HRV",0
"ISL",0
"IND",0
"IDN",690169242466.667
"IRN",0
"IRQ",0
"IRL",0
"ISR",178803846666.667
"ITA",0
"CIV",42893887166.6667
"KAZ",0
"JAM",2974623166.66667
"JPN",0
"JOR",0
"KGZ",0
"KEN",398011553100
"KHM",0
"PRK",0
"KOR",0
"KWT",0
"LVA",0
"LAO",0
"LBN",21657920666.6667
"LSO",0
"LBR",0
"LBY",0
"LTU",0
"MAC",0
"MDG",32291189466.6667
"MWI",111358748200
"MYS",238396666.666667
"MDV",0
"MLI",0
"MLT",0
"MRT",0
"MUS",0
"MEX",2831280570300
"MNG",0
"MAR",82064383333.3333
"MOZ",0
"MDA",0
"NAM",0
"NPL",0
"NLD",0
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",44011186100
"NIC",0
"NER",0
"NGA",0
"NOR",0
"PAK",0
"PAN",14607507833.3333
"CZE",0
"PNG",0
"PRY",18898873933.3333
"PER",801790286500
"PHL",23612202133.3333
"POL",0
"PRT",1.9873e+10
"GNB",0
"TLS",5137979700
"ERI",0
"QAT",0
"ZWE",6855994600
"ROU",0
"RWA",7547904233.33333
"RUS",0
"KNA",0
"LCA",362156666.666667
"VCT",0
"STP",0
"SAU",0
"SEN",0
"SYC",15097133.3333333
"SLE",0
"SVN",0
"SVK",0
"SGP",0
"SOM",0
"ZAF",99593083333.3333
"ESP",124382766666.667
"SUR",106306666.666667
"TJK",0
"SWZ",1042003666.66667
"SWE",0
"CHE",0
"SYR",0
"TKM",0
"TWN",0
"TZA",0
"THA",0
"TGO",0
"TON",0
"TTO",66501166.6666667
"OMN",0
"TUN",387214100
"TUR",7621156666.66667
"ARE",0
"UGA",0
"TUV",0
"GBR",0
"UKR",0
"USA",177251709833.333
"BFA",0
"URY",0
"UZB",0
"VEN",154832538233.333
"VNM",191346446666.667
"ETH",199258772533.333
"YEM",0
"COD",75474500500
"ZMB",0
"BEL",0
"LUX",0
"SRB",0
"MNE",0
"SDN",0
"SSD",0
"PSE",963491433.333333
