"","1","2","3","4","8","9","10","11","12","13","14","16","17","18","19","20","21","22","23","25","26","27","28","29","32","33","35","37","38","39","40","41","44","45","46","47","48","49","50","52","53","54","55","56","57","58","59","60","61","63","64","66","67","68","70","72","73","74","75","79","80","81","83","84","85","86","89","90","91","93","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","112","113","114","115","116","117","118","119","120","121","122","123","124","126","128","129","130","131","132","133","134","136","137","138","141","143","144","146","147","149","150","151","153","154","155","156","157","158","159","162","165","166","167","168","169","170","171","173","174","175","176","178","179","181","183","184","185","188","189","191","193","194","195","196","197","198","199","200","201","202","203","207","208","209","210","211","212","213","214","215","216","217","219","220","221","222","223","225","226","227","229","230","231","233","234","235","236","237","238","249","250","251","255","256","272","273","276","277","299"
"Armenia",0,0,0,0,0,8029466.66666667,2182133.33333333,0,0,0,0,0,0,0,0,0,3266.66666666667,0,0,0,0,254800,0,0,0,980000,0,0,0,0,0,17550166.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49266233.3333333,0,0,20988333.3333333,0,0,9800,0,0,0,2688466.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14303100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3746866.66666667,0,0,0,0,0,2401000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347500,0,0,0,0,29907966.6666667,0,0,0,0,0,0,0,0,756589400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187833.333333333,0,0,0,15895600,97919966.6666667,0,14283500,0,0,0,0,0,0,0,21667800,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6520266.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1690986666.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209066.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587600,0,0,0,0,0,0,0,4733400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225141300,0,0,3047800,0,0,0,0,0,0,0,0,0,356066.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558600,0,0,0,0,0,0,0,0,0,0,0,0,0,331566.666666667,12993166.6666667,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30865633.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22133333.3333333,0,0,0,0,0,0,0,0,121833.333333333,0,0,0,0,0,0,306666.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633.33333333333,0,0,0,0,0,1492633.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39200,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65333.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39200,0,0,33030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963666.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6100136233.33333,0,3486777094933.33,0,0,0,0,0,0,0,0,0,0,0,0,0,223860447633.333,2554103666666.67,681153333333.333,0,0,0,0,0,0,0,0,0,0,0,0,49586413333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188133333333.333,0,0,0,0,0,272956013333.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12877459466.6667,134647026666.667,0,0,0,0,0,0,77710576000,0,0,0,0,0,0,0,0,1415228573333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110735280000,140496866666.667,0,321726813333.333,0,0,0,0,23567366.6666667,0,5962778866.66667,0,0,64317253333.3333,0,0,0,0,0,0,0,0,0,0,0
"Australia",0,0,0,0,0,4926293333.33333,0,0,49912000,937005700,0,882818500,0,0,0,0,192917934566.667,0,0,1344212066.66667,209349033.333333,0,47885176066.6667,0,0,320917033.333333,0,0,2054042000,0,20759966.6666667,3454576915000,203892966.666667,0,293271466.666667,60041200,9982400,0,0,0,2523253333.33333,0,0,138285600,0,43101236000,431592000,175817466.666667,0,0,0,7476404733.33333,174263833.333333,3909100,145822166.666667,0,0,1558504533.33333,0,6545800,0,177566833.333333,37849933.3333333,0,0,0,141478500,0,29421166.6666667,0,0,6967414900,48933.3333333333,0,0,13043396566.6667,48926481300,213018946666.667,71985184000,0,19891400,359756766.666667,3685633566.66667,0,29054166.6666667,3052718666800,6.972e+10,0,17371333.3333333,150561682366.667,0,364497590666.667,652237840633.333,89401200,20311733.3333333,19952566.6666667,0,97866.6666666667,0,22350300,50457366.6666667,7296845166.66667,95909333.3333333,26284246800,5712966.66666667,0,0,0,8387761600,356012863466.667,29837100,0,0,0,0,49977066.6666667,130067466.666667,0,8054858033.33333,0,741517733.333333,94197289466.6667,0,0,19605470300,127400,6165509166.66667,0,1559833.33333333,22075518400,73400,171535229333.333,745631308766.667,155497900,0,0,140019100,0,680969573033.333,0,0,0,0,0,0,0,0,4140598136500,97560833.3333333,0,228371866.666667,0,0,114291927466.667,0,36290404366.6667,4443000,0,0,0,0,1095600,0,0,104855688033.333,7653173333.33333,2772589849733.33,291946666.666667,5823066.66666667,0,167025804233.333,0,26350600,567229890100,0,1553633.33333333,550512100,0,1923004700,1981066666.66667,5443833.33333333,0,0,2333994242400,64309070400,0,12189628933.3333,0,35774000,0,0,0,0,0,0
"Austria",12953600,0,1775030700,1633.33333333333,4900,6533.33333333333,89451100,0,176400,0,0,0,0,0,0,0,737333.333333333,0,0,0,0,34977902400,0,0,0,665687866.666667,0,0,0,0,102449533.333333,613922900,2146666.66666667,0,0,0,0,121722133.333333,197866.666666667,254672200,1633.33333333333,271698400,0,1961633.33333333,245101266.666667,0,0,0,0,139420066.666667,0,2414066.66666667,14793666.6666667,2641246833.33333,0,0,20627666.6666667,0,0,56222303966.6667,18679394433.3333,0,0,164011866.666667,0,0,0,0,0,0,0,38321266.6666667,18403156833.3333,36791089900,3266.66666666667,15252066.6666667,3266.66666666667,217157733.333333,24466.6666666667,93729700,170198233.333333,193225522266.667,0,171272633.333333,0,440897200,47366.6666666667,17664000,0,0,0,1195893200,93100,1824118966.66667,0,19558366.6666667,0,0,0,1175083233.33333,0,0,0,156898000,6036800,58800,34042833.3333333,0,0,22003533.3333333,53102466.6666667,3266.66666666667,0,68854666.6666667,107800,0,25110269800,0,1633.33333333333,3931148433.33333,0,18455866.6666667,0,0,63700,1193666.66666667,66966.6666666667,573300,51247626866.6667,0,6476166.66666667,0,4900,35333059000,125549633.333333,0,0,0,57166.6666666667,0,42248689200,0,7212718066.66667,0,0,0,0,78187700,11433.3333333333,0,0,16916679000,6747594633.33333,118945933.333333,0,15325333.3333333,156839566.666667,0,0,0,275456900,4349230033.33333,0,1223333.33333333,45321733.3333333,0,2381300,0,0,0,2866500,3266.66666666667,116882133.333333,136610033.333333,0,0,951762000,819515400,1346134000,0,0,0,0,28596400,0,0,0,0,301638866.666667,5615266.66666667,2667630466.66667,1113800,0,0,0
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11433.3333333333,0,20614300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4209100,0,0,6827333.33333333,0,0,0,0,0,0,0,0,0,0,0,746433.333333333,0,0,0,0,0,0
"Barbados",0,0,0,0,49155166.6666667,0,0,0,217233.333333333,0,0,0,0,0,0,0,0,0,31033.3333333333,0,0,0,0,0,0,3867733.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266.66666666667,6533.33333333333,0,0,0,0,0,0,0,0,0,19266800,0,0,0,0,0,0,0,0,0,0,0,5020866.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,42466.6666666667,0,0,0,0,57166.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37566.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3119866.66666667,550433.333333333,118300,0,0,0,0,0,0,0,0,0,0,0,1633.33333333333,0,0,0,0,0,0,0,0,0,0,0,15727366.6666667,0,0,0,0,0,0,39582200,0,44911766.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
