"iso3","P0"
"ARM",217259472000
"AFG",413921852133.333
"ALB",39726013333.3333
"DZA",3780646680000
"ATG",0
"ARG",13616443266666.7
"AUS",37178136835733.3
"AUT",2695308800000
"BHS",0
"BHR",0
"BRB",0
"BGD",503533333.333333
"BMU",0
"BTN",3327613866.66667
"BOL",159025321866.667
"BWA",0
"BRA",1378450720000
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",2029117600000
"MMR",0
"BDI",0
"CMR",0
"CAN",30954946280000
"CPV",0
"CAF",0
"LKA",0
"TCD",0
"CHL",621489989600
"CHN",6692013333333.33
"COL",23205472000
"COM",0
"COG",0
"COK",0
"CRI",0
"CUB",0
"CYP",108054933333.333
"AZE",3427735660000
"BEN",0
"DNK",12442507866666.7
"DMA",0
"DOM",0
"BLR",3928892426666.67
"ECU",46743309200
"EGY",352821866933.333
"SLV",0
"GNQ",0
"EST",1638563866666.67
"FRO",0
"FJI",0
"FIN",4587609200000
"FRA",38910743066666.7
"PYF",0
"DJI",0
"GEO",173746666666.667
"GAB",0
"GMB",0
"DEU",36267458666666.7
"BIH",276094520000
"GHA",0
"KIR",0
"GRC",1214267866666.67
"GRL",0
"GRD",0
"GTM",60224800
"GIN",0
"GUY",0
"HTI",0
"HND",0
"HKG",0
"HUN",5067249600000
"HRV",1011371600000
"ISL",25095880000
"IND",5549822666666.67
"IDN",0
"IRN",10352782062000
"IRQ",3918985546666.67
"IRL",4795706800000
"ISR",39928533333.3333
"ITA",3674896933333.33
"CIV",0
"KAZ",10907454960000
"JAM",0
"JPN",7.51648e+11
"JOR",208311186666.667
"KGZ",1383503317333.33
"KEN",170261729066.667
"KHM",0
"PRK",181256739066.667
"KOR",358377400000
"KWT",18368121333.3333
"LVA",918533333333.333
"LAO",0
"LBN",101813333333.333
"LSO",1597019600
"LBR",0
"LBY",2.324e+11
"LTU",1986212133333.33
"MAC",0
"MDG",0
"MWI",0
"MYS",0
"MDV",0
"MLI",0
"MLT",0
"MRT",4775631866.66667
"MUS",0
"MEX",3166381253866.67
"MNG",19293538133.3333
"MAR",5075793642133.33
"MOZ",0
"MDA",584566786666.667
"NAM",0
"NPL",100850168133.333
"NLD",758232666666.667
"ANT",0
"NCL",0
"MKD",484276226666.667
"VUT",0
"NZL",1157987226666.67
"NIC",0
"NER",0
"NGA",0
"NOR",2006165333333.33
"PAK",159072266666.667
"PAN",0
"CZE",5846929466666.67
"PNG",0
"PRY",0
"PER",701146838133.333
"PHL",0
"POL",10205204133333.3
"PRT",202874133333.333
"GNB",0
"TLS",0
"ERI",2.158e+11
"QAT",674624000
"ZWE",185430709466.667
"ROU",5535535600000
"RWA",0
"RUS",65762547605333.3
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",1590823118800
"SEN",0
"SYC",0
"SLE",0
"SVN",380460933333.333
"SVK",2.071348e+12
"SGP",0
"SOM",0
"ZAF",1398937333333.33
"ESP",31523864800000
"SUR",0
"TJK",555811713333.333
"SWZ",0
"SWE",4559909333333.33
"CHE",613972026666.667
"SYR",6143373627866.67
"TKM",59381044133.3333
"TWN",0
"TZA",67582860666.6667
"THA",527827643600
"TGO",0
"TON",0
"TTO",0
"OMN",8889853333.33333
"TUN",2.000964e+12
"TUR",23959333333333.3
"ARE",0
"UGA",0
"TUV",0
"GBR",25592773333333.3
"UKR",28762421600000
"USA",11107347733333.3
"BFA",0
"URY",2.360852e+12
"UZB",432555053333.333
"VEN",0
"VNM",0
"ETH",7734797456400
"YEM",75179186666.6667
"COD",3238261600
"ZMB",30718111866.6667
"BEL",1140530666666.67
"LUX",108575066666.667
"SRB",1568566115466.67
"MNE",3239888400
"SDN",0
"SSD",0
"PSE",66849860000
