"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34300000,0,0,136600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037575000,0,0,0,0,0,0,0,0,0,0,2205000,0,0,0,0,0,0,0,0,490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10290000,68845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10780000,0,0,0,0,0,0,0,0,0,0,0,73990000,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,173074920000,0,0,76685000,0,0,0,0,0,0,0,153579270000,0,2371872275000,0,0,0,0,0,0,0,0,5390000,0,0,0,0,224039490000,383195740000,477152870000,0,0,0,48510000,0,0,0,0,0,95680000,17352860000,0,67161200000,0,0,0,0,0,0,3430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125930000,0,0,0,0,0,0,140605320000,0,0,11760000,45080000,0,0,0,22599240000,85805400000,0,1.4193e+10,0,0,120295000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48020000,0,0,0,0,0,0,19090980000,0,0,0,0,17395000,0,0,0,0,0,63455000,0,0,88686905000,162021545000,522900000,0,0,0,0,0,0,0,0,0,60477120000,0,0,128800000,0,1006477920000,0,0,0,0,0,0,0,7.7605e+10,318800000,0,0,0,1225000,0,44396700000,0,0,0,0,0,0,0,14803880000,85665960000,0,89998560000,0,0,193550000,0,159250000,0,377684825000,0,41370795000,0,0,0,0,0,210672260000,0,0,0,0,0,0
"AUS",0,7340000,0,0,0,5505000,0,0,0,599260000,0,1284500000,0,0,0,0,0,0,0,3663435000,9175000,0,13731775000,0,0,849430000,0,0,408015000,0,0,2692351465000,40694900000,0,0,0,0,31280000,27525000,0,0,0,0,0,0,7287400000,871625000,0,0,0,0,8324515000,53215000,0,3524200000,0,0,0,0,91750000,0,0,20185000,0,0,0,45875000,0,0,0,0,8640475000,0,0,0,2703805000,70616535000,1.8675e+11,0,0,0,233045000,0,0,1835000,2261937910000,2.5315e+11,0,29440000,20339355000,0,502765865000,297349560000,0,1078240000,0,0,0,0,0,36520000,281520000,0,55854865000,1835000,0,0,0,12355570000,1835000,33120000,0,0,0,0,0,31195000,0,2905210000,0,954915000,58886095000,0,0,0,18350000,2058140000,0,0,41026400000,0,0,264666910000,130285000,0,0,0,0,81121230000,0,0,0,292445000,0,0,0,0,1881763075000,0,0,0,0,0,93224055000,0,9266060000,90986400000,0,0,0,161480000,16560000,0,0,47161295000,0,463117910000,0,0,0,49951610000,0,0,398126660000,20205000,0,649590000,0,623900000,0,0,0,0,390882710000,0,1.1952e+10,0,0,5505000,0,0,0,0,0,0
"AUT",16660000,0,999375000,0,0,0,324745000,0,0,0,0,0,0,0,0,0,75705000,0,0,0,0,31092670000,0,0,0,1074325000,0,0,0,0,4900000,36995000,0,0,0,0,245000,126960000,0,362975000,0,38125000,0,0,66195000,0,22785000,0,0,242590000,0,0,11515000,933305000,0,0,50715000,0,0,47648945000,861830000,0,0,305760000,0,0,0,0,0,0,0,32215000,26139355000,21150865000,45815000,3185000,0,48755000,3430000,522010000,187670000,204059955000,0,4160000,0,385240000,117755000,67690000,0,0,0,207145000,0,2736790000,0,1470000,0,0,0,240465000,0,0,0,0,0,0,3185000,0,0,245000,0,1840000,0,10045000,0,0,1043210000,0,0,9063840000,0,146510000,0,0,0,54645000,490000,0,36560320000,0,0,0,0,669270000,0,0,0,0,0,0,44804280000,0,4744280000,0,0,0,0,0,0,0,0,17836495000,2257450000,0,0,5160000,12740000,0,0,0,277340000,16218565000,50225000,0,15555000,0,245000,0,0,0,34055000,36800000,8895000,126910000,0,0,85195000,476225000,600005000,0,0,31195000,0,0,0,0,0,0,309925000,0,569885000,245000,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
