"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31360000,0,0,22760000,0,0,18130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,57072120000,0,2172274530000,0,0,0,0,0,0,0,0,490000,0,0,0,0,57977980000,18620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21070000,0,0,0,0,0,20580000,0,0,0,0,0,0,0,0,0,0,0,0,1766400000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9e+07,33320000,0,0,0,0,0,0,0,0,0,20580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11667760000,15166600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464520000,0,0,0,0,13230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16660000,0,56086480000,0,44740140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,820810000,2874080000,1306120000,0,0,0,0,0,0,0,3759220000,174690000,0,18213300000,0,0,2802910000,0,0,40775810000,0,1688200000,4586167580000,2.59494e+11,0,0,1.85e+08,0,0,0,5880000,9310000,0,0,0,0,0,9310000,0,0,0,0,18705710000,502100000,317140000,1611130000,0,0,0,0,1025810000,0,0,382160000,0,0,0,0,0,0,0,0,20168690000,0,0,0,816690000,138455690000,1.743e+11,0,0,76120000,469120000,0,0,8820000,4343363140000,281610000,0,2450000,22741410000,0,941945590000,423737760000,0,66240000,0,0,0,0,0,106960000,0,9.844e+09,137268020000,0,0,0,0,23223040000,172490000,0,0,0,0,0,13299520000,286220000,0,5631320000,0,1166210000,49943630000,0,0,0,3670000,520320000,16660000,25690000,47300380000,0,723760000,524325170000,33030000,0,0,0,0,27152080000,0,0,0,386400000,0,0,0,0,3704122920000,0,0,0,110100000,0,149598900000,0,89475720000,0,0,0,0,826020000,176080000,0,0,484517460000,20580000,431792100000,0,51930000,0,127916040000,0,0,4.93486e+11,0,25470000,1153600000,0,1534780000,0,5390000,0,0,723342260000,0,0,0,0,5390000,0,0,0,0,0,0
"AUT",0,0,9473170000,0,0,0,82810000,0,490000,0,0,0,0,0,0,0,401120000,0,0,0,0,2940000,0,0,0,148470000,0,0,0,0,0,0,0,0,0,0,0,95680000,0,18210770000,0,5770000,0,0,294400000,0,0,0,0,424400000,0,0,6860000,165620000,0,0,0,0,0,112135220000,449680000,0,0,294520000,0,0,0,0,0,0,0,980000,44427830000,89494190000,490000,0,0,6860000,0,17150000,429560000,315629840000,0,0,0,481800000,40210000,51520000,0,0,0,217040000,0,2348860000,0,0,0,0,0,34790000,0,0,0,1470000,57820000,0,0,0,0,0,0,0,0,11040000,0,0,8820000,0,0,12972690000,0,0,0,0,19110000,3430000,0,0,22285320000,0,51520000,0,490000,10573290000,4410000,0,0,0,0,0,2522650000,0,5715880000,0,0,0,0,0,0,0,0,6038170000,926330000,980000,0,52010000,157780000,0,17150000,0,282730000,7347090000,69090000,3.68e+08,490000,0,490000,0,0,0,178850000,0,17150000,97510000,0,0,123260000,196200000,977560000,0,0,1078240000,0,0,0,0,0,0,39690000,3320000,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490000,1960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470000,0,0,0,0,0,23520000,0,0,0,0,0,0,0,0,16600000,0,0,0,0,0,3430000,0,0,0,0,0,0,0,0,0,0,0,0,4900000,0,0,0,4410000,0,0,42630000,0,0,6370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
