"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17685000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2318430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426600000,0,0,0,0,0,0,0,0,0,213300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426600000,0,0,0,0,0,0,0,0,0,0,0,0,0,272450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,459810000,0,0,49125000,27510000,0,0,0,1691865000,0,13325960000,0,19650000,0,0,0,0,0,21615000,3711885000,3930000,0,0,0,33075465000,587535000,907830000,0,72705000,0,787965000,176850000,0,0,0,0,0,147375000,0,1175070000,43230000,422475000,23580000,31440000,0,0,0,0,0,0,0,0,0,56985000,13755000,19650000,0,0,0,0,2082900000,1965000,0,125760000,534480000,1161315000,0,0,0,125760000,19650000,0,0,0,1648635000,21615000,0,0,155235000,13755000,133620000,0,0,0,0,1477680000,165060000,5895000,0,398895000,0,0,0,0,0,7860000,0,7860000,0,0,29475000,0,0,6734055000,0,17685000,764385000,0,0,0,1359780000,0,0,0,0,31440000,172920000,0,0,0,21615000,734910000,86460000,0,1861500000,1332270000,29475000,0,23580000,0,0,0,0,0,1965000,0,35370000,0,0,0,0,218115000,0,0,13755000,0,0,106110000,0,377280000,62880000,96285000,0,0,11790000,0,0,0,442125000,0,0,0,0,27510000,23580000,78600000,0,155235000,0,0,2466075000,0,9363225000,0,4534560000,0,1123980000,80565000,0,27510000,222045000,0,13755000,0,0,0,0,0,0
"AUS",0,0,0,0,0,194535000,0,0,0,1965000,0,0,0,0,0,0,41265000,0,0,13755000,762420000,0,0,0,0,725085000,0,0,56985000,0,0,2481795000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322445000,0,0,0,0,968640000,0,3930000,571815000,0,0,0,0,23580000,0,0,5895000,1965000,0,0,0,0,0,0,0,7877685000,0,0,0,194535000,1727235000,0,0,218115000,51090000,1965000,0,0,0,51302220000,13755000,0,3930000,0,0,9953340000,803685000,0,0,170955000,0,0,0,0,0,0,0,4989135000,104145000,0,0,0,1965000,5895000,0,1965000,0,0,0,0,31440000,0,809580000,0,46500000,27933825000,0,0,0,0,137550000,0,0,660870000,0,0,7920915000,0,0,0,0,0,5895000,0,0,0,1965000,0,0,0,0,4222785000,0,1965000,0,0,0,6398040000,0,558060000,45195000,0,0,0,0,0,35370000,0,7679205000,0,2373720000,0,31395000,0,0,0,15720000,2904270000,0,1965000,163095000,0,615045000,0,0,0,0,330120000,0,0,0,0,153270000,0,0,0,0,0,0
"AUT",62880000,0,58950000,0,0,100215000,216150000,0,0,1965000,0,0,0,0,0,0,273135000,0,0,0,0,399520000,0,0,0,135585000,0,0,0,0,1965000,12435000,7860000,0,0,0,0,11790000,72705000,19650000,0,544305000,0,0,0,0,0,0,0,70740000,0,0,219420000,17861805000,0,0,165060000,0,0,92131065000,8860725000,0,0,1477680000,0,0,0,0,0,0,0,33405000,6476030000,5219010000,56985000,7860000,0,17685000,0,122415000,94965000,20327925000,0,0,0,24117750000,1965000,0,0,0,0,5895000,1965000,84495000,0,0,0,0,0,98250000,0,0,0,0,0,0,48465000,0,0,1184895000,15720000,1965000,0,3930000,0,1965000,5743590000,0,0,746700000,0,1965000,0,0,51750000,485505000,0,0,4233450000,0,0,0,21615000,2692050000,1053240000,0,0,0,0,0,1530645000,0,1292370000,0,0,0,0,0,0,0,0,10619475000,1502710000,1965000,0,29475000,14201055000,0,0,0,6948750000,4550265000,7860000,0,21615000,0,0,0,0,0,0,0,1149525000,0,0,0,605220000,23520000,2312805000,0,1965000,0,1965000,0,0,0,0,0,4795470000,25545000,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
