"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,668100,0,0,0,0,0,0,0,0,0,0,0,0,0,36431100,0,0,0,5777100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80565000,0,0,0,0,9510600,0,0,0,44094600,0,0,1774421100,0,0,85909800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064311100,30378900,0,74827200,0,0,2633100,0,98957400,0,0,0,0,0,22361700,0,319941300,0,1179000,0,0,0,1532700,0,0,0,0,0,0,0,0,0,0,0,0,0,218979600,0,0,39300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78600,0,0,0,0,0,0,0,0,20834930700,0,0,0,0,51129300,0,0,0,0,0,0,0,0,0,0,67674600,0,0,39300,0,302727900,0,0,0,0,0,0,0,0,0,13401300,0,0,190369200,780222900,172851300,0,0,107878500,0,536169900,0,0,0,0,42247500,0,314400,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550200,0,0,78600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78600,0,0,0,0,0,0,0,0,0,0,0,157200,0,0,39300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4047900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52200,3537000,0,0,0,0,0,0,0,0,0,0,5934300,1650600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16702500,0,0,0,289800,0,0,0,0,0,0,13086900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653205300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157121400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119393400,0,0,19217700,0,0,0,0,0,275100,7663500,0,0,0,0,0,0,0,0,0,0,0,0,0,2868900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768500,0,18216900,0,0,0,0,0,0,0,0,0,0,0,4676700,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,34977000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53798100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240022800,0,0,0,0,0,14120396400,0,0,0,0,0,0,0,0,0,0,0,0,550200,0,0,0,0,0,0,0,0,19099800,0,0,0,0,683387700,0,0,0,0,39300,0,0,0,272977800,0,0,0,0,0,5148300,0,0,0,0,0,68342700,0,0,0,860277000,13440600,0,0,0,3412800000,0,0,0,0,0,0,1635000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29082000,94713000,0,0,0,0,0,0,0,391467300,0,0,0,65400,39300,0,0,0,0,0,0,0,0,406047600,0,247825800,13833600,0,0,0,0,0,48260400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2672400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7057127400,0,13207904700,0,0,0,0,0,0,0,0,246961200,0,0,0,0,14050039800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8597739600,760140600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214931700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538567200,0,16412426700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,23973000,0,16766400,0,0,0,0,0,0,0,35611200,421335300,0,106424400,39300,0,444827100,0,0,37209600,0,4833900,10482708000,64884300,0,0,76438500,0,0,0,0,0,275100,0,0,0,0,258240300,0,0,157200,0,4521347100,0,52852500,1791424200,0,0,0,0,72718500,0,0,39103500,2318700,0,0,0,0,0,0,0,15009555600,0,0,0,55963200,13492343700,0,0,864600,20789700,14658900,0,0,0,62954979900,14304900,0,313200,9392700,0,10644994500,490503300,0,0,51090000,0,0,0,0,2200800,0,0,53161989600,13637100,0,0,0,1139700,0,471600,0,0,0,0,0,1021800,0,1088434200,0,174829200,180838588600,0,0,0,0,14474700900,0,0,1604400600,0,353700,19006894800,0,0,0,85071000,0,90075600,0,38121000,0,707400,0,0,0,0,224709900,0,0,0,0,0,20026201800,0,111480000,0,0,0,0,8488800,0,0,0,2592699600,0,10428180600,0,6916800,66888600,0,0,29121300,1315960500,0,0,6595271700,0,1393685400,0,0,0,0,3362822400,0,0,0,0,0,0,0,0,0,0,0
"AUT",42326100,0,64019700,117900,0,146667600,340259400,0,39300,707400,0,0,0,39300,0,0,1294895700,0,0,0,0,10065977400,0,0,0,253170600,0,0,0,0,506734200,784552200,39300,0,0,0,0,0,162615900,115109700,0,742321100,0,39300,312585300,0,39300,0,0,176193600,0,78600,916866700,33254906900,0,0,56081100,0,0,282254890000,746507700,39300,0,8716779600,0,0,39300,0,117900,0,0,1528800,43607234400,64760263400,166396200,78600,39300,128275200,3576300,629735700,2335520400,31810144100,0,5737800,0,79054200,8410200,37649400,39300,78600,0,31636500,20553900,58733100,0,20003700,0,0,164863500,6536104300,0,5384100,0,10335900,48181800,0,107824500,0,0,106896000,3104700,10689600,0,27706500,1257600,0,17957342700,0,0,159675900,0,3065400,0,0,1532700,2924640000,157200,0,62920061100,0,74905800,157200,30968400,68618727200,7299470100,0,0,0,1257600,0,35516989500,0,39103500000,0,0,0,0,55530900,0,39300,39300,13701555700,20171926800,9432000,0,149025600,56379536400,0,0,0,16320898500,11645283400,0,12497400,13519200,0,39300,0,0,0,0,157200,3243979200,48574800,39300,0,38701432900,28090421700,25169645700,0,640559700,11161200,39300,0,0,0,196200,78600,19742283700,136948200,2916112100,210058500,0,0,982500
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,157200,0,0,0,0,0,39300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668100,0,0,0,0,0,314400,0,0,0,196500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5580600,0,0,0,0,314400,0,0,0,0,0,0,39300,0,668100,0,0,0,0,0,0,0,0,1061100,0,0,0,0,393000,10886100,0,0,0,0,589500,0,0,0,0,0,0,196500,0,0,0,0,0,0,0,0,0,0,0,0,0,1798132200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4637400,0,0,0,0,44595300,0,0,136292400,0,78600,0,0,2448600,0,0,0,0,0,0,0,0,1493400,78600,0,0,0,0,0,0
