"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70441000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28350,0,0,0,0,0,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,0,0,0,435000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,2173500,0,323950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11881800,0,171851400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477108900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,88350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19865000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39711350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161595000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130964600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11978200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232000,0,0,0,0,0,0,0,0,0,0,0,36664800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,81756823300,0,0,124503679050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27306324150,0,0,0,2764541000,0,0,0,0,136191707550,644880762150,13301943500,0,0,0,501266800,0,1359345800,0,0,0,0,1159391000,0,6359087150,1202833800,0,0,353439450,0,0,7404329000,57359119700,0,0,0,0,0,110376210700,0,1340960000,0,48025407550,0,0,0,0,0,0,0,0,29497161750,7902775150,0,0,0,0,5998012000,2329803000,25807796000,98867250750,0,0,0,17182878300,625646000,0,0,0,0,12563699000,648759000,565674000,0,5630278800,0,0,0,11428819800,0,0,0,5425112700,0,0,0,0,0,7848503600,0,0,0,0,0,0,1052370304500,0,0,1622312850,0,35951332150,0,0,0,9683590000,0,0,0,0,3279783150,13251051000,23731795600,149369089250,5646200800,0,0,0,0,0,12204115200,0,168006522950,0,0,0,0,2792149000,0,0,0,0,0,0,0,80734793500,51103900850,0,0,0,5780969650,0,0,0,2142664650,0,0,0,0,1352862000,0,0,42381827600,31625172050,0,0,189250088300,12642987600,60654205400,0,14661137000,0,354318300,7849604700,0,0,0,0,77120988100,0,2941130150,2548745600,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160200,0,0,0,0,0,0,0,0,0,0,0,446994600,0,0,0,11107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611408500,0,176800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36610250,0,0,0,3808860000,3491800,0,0,0,0,0,0,0,0,894913400,0,0,0,0,0,2903971200,0,0,0,0,0,0,0,0,0,0,0,1481705500,0,0,0,0,18734000,0,0,0,0,0,0,0,283500000,0,145000,0,2552000,14597660400,0,0,0,0,302470000,0,0,36427000,0,0,93612000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35287900,0,6090000,0,0,0,0,0,0,0,0,55807350,0,2034995200,0,0,0,0,0,0,0,0,0,104044500,0,1721987800,0,0,0,0,78057200,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,1911550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206250,0,0,353400,0,0,0,0,0,0,116000,0,0,174000,0,0,0,26517850,883500,0,605410900,0,0,0,0,0,0,0,0,0,0,160200,425250300,0,0,6184500,0,0,7769597650,14283750,0,0,135645900,0,0,0,0,0,0,0,29450,242374500,735957500,0,0,0,6768550,0,0,0,616500400,0,25415350,0,0,0,854050,0,0,0,0,0,0,0,0,0,0,4670400,525600,0,0,0,0,0,0,2096100,0,0,0,0,0,0,1973150,0,0,1237261300,0,0,0,0,0,0,0,147250,772537500,0,0,67785850,0,0,0,0,17753200,58840650,0,0,0,0,0,29731200,0,3902250,0,0,0,0,0,0,0,0,909586700,121979350,0,0,0,137278250,0,0,0,5345637150,1043419450,0,496600,0,0,0,0,0,0,0,0,0,0,0,0,11599600,14128950,35036900,0,0,0,0,0,0,0,0,0,87450,3103000,41476000,88350,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147532050,0,0,382850,0,0,0,0,0,0,0,0,0,0,0,0,0,3180600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121360850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2354500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
