"reporter","partner","percentage"
"ARM","ARG",1.11265772647541
"ARM","AUS",0.302382164884287
"ARM","BRA",0.000905335823006847
"ARM","BGR",0.070616194194534
"ARM","CAN",0.135800373451027
"ARM","CHN",0.752334068918689
"ARM","FRA",4.88655010467945
"ARM","GEO",2.17212697334918
"ARM","DEU",0.00135800373451027
"ARM","GRC",0.296950149946246
"ARM","IRQ",3.96401290103548
"ARM","LVA",0.341085271317829
"ARM","LTU",0.665421829910032
"ARM","CZE",0.000905335823006847
"ARM","POL",2.04900130142025
"ARM","RUS",68.2113959146721
"ARM","ARE",0.0520568098228937
"ARM","UKR",1.06150625247553
"ARM","USA",9.46030668251004
"ARM","URY",2.17506931477395
"ARM","BEL",2.28755729078255
"AFG","MOZ",0.384061095416823
"AFG","PAK",99.6036243203614
"AFG","UZB",0.0123145842217819
"ALB","CHN",1.19311459171817
"ALB","FRA",0.0656406086058541
"ALB","HRV",0.625516387891081
"ALB","ITA",1.86496552686044
"ALB","POL",0.733630331477193
"ALB","SEN",88.7059541075222
"ALB","SVN",1.20083701626004
"ALB","CHE",0.140290712510551
"ALB","GBR",0.220089099443158
"ALB","BEL",0
"ALB","SRB",0.13063768183322
"ALB","MNE",5.11932393587813
"DZA","FRA",39.0757309642914
"DZA","MRT",56.0413693337238
"DZA","NLD",0.300209564337433
"DZA","NER",0.776476804021475
"DZA","CHE",0.00413558297794046
"DZA","TGO",3.77933204426931
"DZA","BEL",0.0227457063786725
"ATG","KEN",0.000447520421772471
"ATG","MDV",0.0179008168708989
"ATG","VCT",0.0107404901225393
"ATG","SEN",9.04995889661922
"ATG","TTO",0
"ARG","BRA",29.4864117503301
"ARG","CHL",2.15638899648972
"ARG","CHN",33.5505365159159
"ARG","COL",8.96438993717674
"ARG","KWT",3.77045855262197
"ARG","PRY",0.146203075573772
"ARG","SAU",16.3369674244286
"ARG","OMN",1.55605118392653
"ARG","ARE",3.99148062101154
"ARG","URY",0.0411119425251613
"AUS","BHS",0.000206205164662262
"AUS","BHR",0.00491077513802397
"AUS","BGD",0.00226181289988919
"AUS","BRA",0.800572540214144
"AUS","SLB",0.00646669978208106
"AUS","BRN",0.000882887460225819
"AUS","MMR",0.177836853176803
"AUS","CAN",0.00125176558812164
"AUS","LKA",0.0120203535060854
"AUS","CHL",9.96658295867602e-05
"AUS","CHN",9.79712399409549
"AUS","COL",0.000621121459529558
"AUS","COG",0.00343290707735827
"AUS","COK",0.000318472420978383
"AUS","BEN",0.0295360961106155
"AUS","DOM",0.000517231288027842
"AUS","ECU",0.504524152277875
"AUS","EGY",0.00505202653422543
"AUS","SLV",0.0010290210508771
"AUS","FJI",0.0284243949747979
"AUS","FIN",0.000722720462535027
"AUS","PYF",0.0002914991014005
"AUS","GAB",0.0182431700682835
"AUS","DEU",1.45923475829201e-05
"AUS","GHA",0.000773698961576531
"AUS","KIR",0.000179999924986433
"AUS","GTM",0.000644176342523047
"AUS","GUY",0.000130954599363638
"AUS","HKG",0.0299841582625311
"AUS","HUN",5.7279212406184e-07
"AUS","IND",0.0411987565426391
"AUS","IDN",0.209102860514622
"AUS","IRN",2.49350629959024
"AUS","IRQ",0.421313485466714
"AUS","ISR",0.000232839998431138
"AUS","ITA",0.00143484427077491
"AUS","CIV",0.0215016102443034
"AUS","JAM",2.82816111255534e-05
"AUS","JPN",13.5297446898604
"AUS","JOR",0.816111721176938
"AUS","KEN",7.04534312596064e-05
"AUS","KHM",0.522942036234836
"AUS","KOR",1.37143614362273
"AUS","KWT",3.52180278872004
"AUS","LVA",0.00026147960463423
"AUS","LBN",7.36753869574542e-05
"AUS","LBR",1.14558424812368e-06
"AUS","LTU",0.000261622802665246
"AUS","MAC",0.000162014330327966
"AUS","MDG",0.0423513444230726
"AUS","MWI",0.00112267256316121
"AUS","MYS",0.0877351469218079
"AUS","MDV",5.15512911655656e-05
"AUS","MUS",0.0282971389425623
"AUS","MEX",2.08364664324825
"AUS","MNG",7.63245505312402e-05
"AUS","NPL",0.000585009608386516
"AUS","NLD",0.00151255358918646
"AUS","NCL",0.0437638105873794
"AUS","VUT",0.00282510479054731
"AUS","NZL",0.485961615873928
"AUS","NGA",0.0208472705483392
"AUS","NOR",6.30929744283376e-07
"AUS","PAK",0.0190918371009504
"AUS","PNG",0.0982067928475438
"AUS","PRY",8.5918818609276e-07
"AUS","PER",1.00395805546262
"AUS","PHL",3.74297605298879
"AUS","POL",0.000740262221334421
"AUS","TLS",0.000663246262326452
"AUS","QAT",3.65032734637106
"AUS","SAU",24.2291658110683
"AUS","SEN",0.00114200429734829
"AUS","SLE",0.00267322084299661
"AUS","SGP",0.448680085950849
"AUS","ZAF",0.212396885206257
"AUS","ESP",5.18166172175834e-05
"AUS","TWN",0.408572231517755
"AUS","TZA",0.0895846882032718
"AUS","THA",13.2029127527492
"AUS","TGO",0.00341739954998857
"AUS","TON",3.40811313816795e-05
"AUS","OMN",0.97592712283027
"AUS","TUR",2.27684869314581e-05
"AUS","ARE",3.04845638540989
"AUS","GBR",0.00230620624043084
"AUS","USA",0.00738091815210378
"AUS","BFA",0.023189496946351
"AUS","URY",5.99999749954778e-05
"AUS","VNM",11.1206324516575
"AUS","ETH",0.370495237117663
"AUS","COD",0.142686446490116
"AUS","BEL",5.39140586773207e-05
"AUT","ALB",0.357871464329161
"AUT","ATG",2.43177859383121e-06
"AUT","AUS",0.0133958576805515
"AUT","BHS",4.37720146889617e-05
"AUT","BRA",0.000182962389440634
"AUT","BGR",5.05793826644512
"AUT","CAN",0.105933139104475
"AUT","CHL",0.025410911773018
"AUT","CHN",0.0918018751831837
"AUT","COL",0.000380482365021209
"AUT","CUB",0.0146500929827766
"AUT","CYP",4.90987677992587e-05
"AUT","AZE",0.0627122283071793
"AUT","DNK",0.0499904364930416
"AUT","DOM",4.33667182566565e-05
"AUT","BLR",0.0445844437945512
"AUT","EST",0.0150196737009044
"AUT","FIN",0.00310390069164117
"AUT","FRA",0.330869921215105
"AUT","GEO",0.00474569863941922
"AUT","DEU",11.9013994111609
"AUT","BIH",3.02299594719118
"AUT","GRC",0.020066416604613
"AUT","GTM",0
"AUT","HKG",0.00529398199877054
"AUT","HUN",1.87736647417226
"AUT","HRV",7.17137455252751
"AUT","ISL",8.10592864610403e-07
"AUT","IND",1.6211857292208e-06
"AUT","IDN",1.6211857292208e-06
"AUT","IRN",0.0332899902160118
"AUT","IRL",0.0158806391221013
"AUT","ISR",0.0236810652431606
"AUT","ITA",34.8469946166146
"AUT","KAZ",0.042496869399372
"AUT","JPN",0.0727529345934834
"AUT","KOR",0.167988687935051
"AUT","KWT",1.98595251829549e-05
"AUT","LVA",0.2986623619708
"AUT","LBN",0.00405965584986293
"AUT","LTU",0.185837123949551
"AUT","MYS",0.0389153475406485
"AUT","MDV",0.00149797561380002
"AUT","MLT",0.00325745013999452
"AUT","MEX",0.00437823538836634
"AUT","MNG",0.0071773118061352
"AUT","NAM",5.34991290642866e-05
"AUT","NLD",5.72019560624854
"AUT","NCL",8.10592864610403e-07
"AUT","MKD",0.853537826436789
"AUT","NZL",0.00209153637458887
"AUT","NGA",4.45826075535721e-06
"AUT","NOR",4.13402360951305e-05
"AUT","PAK",2.18860073444809e-05
"AUT","PAN",0.000141448454874515
"AUT","CZE",8.34541430461698
"AUT","PRY",0.000953257208781833
"AUT","PHL",2.43177859383121e-06
"AUT","POL",5.75254892332407
"AUT","PRT",0.0157978097655074
"AUT","QAT",1.4185375130682e-05
"AUT","ROU",7.30364262137117
"AUT","RUS",1.08360606667683
"AUT","SAU",0.00780141041239488
"AUT","SEN",5.67415005227282e-06
"AUT","SVN",2.69801197236397
"AUT","SVK",0.337128740320723
"AUT","SGP",0.0280473402510961
"AUT","ZAF",0.00222045372548497
"AUT","ESP",0.00387619717907662
"AUT","SWE",0.0633043746661329
"AUT","CHE",0.772551774559659
"AUT","TWN",0.00941868379034057
"AUT","THA",0.00021637866671641
"AUT","OMN",1.13483001045456e-05
"AUT","TUN",1.6211857292208e-06
"AUT","TUR",0.0136590522208771
"AUT","ARE",0.0176571774552314
"AUT","GBR",0.144076181886332
"AUT","UKR",0.0910549138584452
"AUT","USA",0.245298312417451
"AUT","VNM",0.00666672101498826
"AUT","BEL",0.0414409067661017
"AUT","LUX",0.000829029716602408
"AUT","SRB",0.513984032134469
"AUT","MNE",0.000548705198495152
"BHS","IRL",19.5652173913043
"BHS","NLD",26.0869565217391
"BHS","ESP",0
"BHS","USA",54.3478260869565
"BHR","ARE",67.2143974960876
"BHR","GBR",20.8659363588941
"BHR","BEL",11.9196661450183
"BRB","ATG",28.0579352002152
"BRB","BHS",0.354573175127429
"BRB","DMA",0.00533192744552525
"BRB","FRA",11.640930595443
"BRB","GRD",2.97521551460309
"BRB","IRL",0.0173287641979571
"BRB","JAM",0.00533192744552525
"BRB","MEX",0.0146628004751944
"BRB","KNA",1.17558118689249
"BRB","LCA",0.0239936735048636
"BRB","VCT",0.193091943920093
"BRB","SUR",0.00266596372276262
"BRB","TTO",10.3839287001604
"BRB","GBR",21.9755389667323
"BRB","USA",23.1738896601141
"BGD","BHR",6.66659054184755
"BGD","DNK",0.00891632189817075
"BGD","MYS",38.7167590651905
"BGD","MUS",4.27983451112196
"BGD","NLD",0.548487420090198
"BGD","QAT",44.545944203261
"BGD","SGP",5.23346793659062
"BGD","ARE",0
"BTN","IND",99.9660572744479
"BTN","SGP",0.0339427255520936
"BOL","BRA",0.00753541259459634
