"reporter","partner","percentage"
"ARM","BLR",24.6480871835623
"ARM","FRA",2.79827449199682
"ARM","GEO",49.7928255193552
"ARM","HUN",0.109736254588111
"ARM","RUS",20.9501646043819
"ARM","USA",0.109736254588111
"ARM","UZB",1.48143943693949
"ARM","BEL",0.109736254588111
"AFG","AUT",0.00217214529728079
"AFG","BHR",0.000411777785676982
"AFG","CAN",0.145707115038098
"AFG","LKA",0.000289432942733906
"AFG","DNK",0
"AFG","KWT",0.0289432942733906
"AFG","PAK",99.6814626173567
"AFG","SAU",0.11434698578154
"AFG","SWE",0.00436491443951484
"AFG","CHE",0
"AFG","TUR",0
"AFG","ARE",0.0223017170850522
"DZA","CAN",0.773712176443157
"DZA","FRA",34.2885854465922
"DZA","NER",58.0612533086376
"DZA","CHE",0.0761889749298864
"DZA","BFA",6.03837034409831
"DZA","BEL",0.761889749298864
"ATG","AUS",21.36321233693
"ATG","BLR",4.70526777340733
"ATG","ITA",14.7039617918979
"ATG","LCA",0
"ATG","CHE",0.529342624508325
"ATG","GBR",58.6982154732565
"ARG","DZA",2.11924021417722
"ARG","AUS",3.57204080108257
"ARG","BRA",0.105670301425037
"ARG","BGR",0.992108488719346
"ARG","CAN",0.33681119014938
"ARG","CHL",4.11195018413909
"ARG","CHN",8.08547078275356
"ARG","COL",0.200731707997153
"ARG","CYP",0.0315788667949852
"ARG","AZE",0.0498087872897596
"ARG","DNK",0.0840931804721233
"ARG","DOM",0.0266314667131794
"ARG","BLR",0.0206737288864183
"ARG","ECU",0.225279411028996
"ARG","EST",0.0531686086664747
"ARG","FIN",0.0915156091125769
"ARG","FRA",2.07526893385832
"ARG","DEU",3.00513546063709
"ARG","GHA",0.0701028588419147
"ARG","GRC",1.61717675192818
"ARG","HTI",0.0323436665782217
"ARG","HUN",0.576507618340355
"ARG","HRV",0.500867132019813
"ARG","IRQ",0.0431197004444608
"ARG","IRL",0.0869235875275173
"ARG","ISR",0.786434010536443
"ARG","ITA",2.5484603842175
"ARG","JPN",0.283359549798165
"ARG","KOR",0.320998659990565
"ARG","KWT",0.0330335937255914
"ARG","LVA",0.0400010050384353
"ARG","LBN",0.0766852483736227
"ARG","LTU",0.519342828297384
"ARG","MYS",0.28407628512151
"ARG","MEX",0.0654866251966851
"ARG","MDA",0.0229102885098662
"ARG","NLD",34.8712924032415
"ARG","MKD",0.173975377017412
"ARG","NZL",0.684970594105154
"ARG","NOR",0.266790940743321
"ARG","CZE",0.0597387931736097
"ARG","PRY",0.0750811803499616
"ARG","PER",0.369512418960747
"ARG","PHL",0.346078872532337
"ARG","POL",5.77477635571754
"ARG","PRT",0.394553163747399
"ARG","ROU",0.293969092508504
"ARG","RUS",4.28251946307834
"ARG","SAU",0.102906984515757
"ARG","SVN",0.026591611180834
"ARG","SVK",0.0264561023708597
"ARG","ZAF",1.87914933336927
"ARG","ESP",1.91059431626972
"ARG","SWE",0.149397134478892
