"reporter","partner","percentage"
"AFG","CAN",1.07297770337113
"AFG","KAZ",98.9270222966289
"AUS","CHN",2.47203280810052
"AUS","COL",2.77106726297784
"AUS","FJI",13.4109592502387
"AUS","DEU",0.00834923533088789
"AUS","HKG",0.475027546983674
"AUS","IND",0.0522925791776662
"AUS","IDN",26.5857230273009
"AUS","JPN",0.15863547128687
"AUS","KHM",0.254651677592081
"AUS","NLD",0.0151604536271385
"AUS","NCL",2.9295928759051
"AUS","VUT",0.00109858359616946
"AUS","NZL",38.6565201485724
"AUS","PNG",0.100630257409122
"AUS","PHL",1.4145362384278
"AUS","SEN",0
"AUS","SGP",0.646846021424577
"AUS","TWN",4.08321551024264
"AUS","THA",0.193460571285442
"AUS","GBR",3.3581503367708
"AUS","USA",2.41205014374966
"AUT","AUS",0.0223638174027258
"AUT","BGR",0.000849454390296904
"AUT","CHN",0.22735518051086
"AUT","COL",0
"AUT","CYP",3.60374589822929e-05
"AUT","DNK",1.02964168520837e-05
"AUT","EST",0.00361919052350741
"AUT","FIN",1.02964168520837e-05
"AUT","FRA",0.327199534725515
"AUT","DEU",21.6710744769176
"AUT","BIH",8.75195432427113e-05
"AUT","GRC",1.74543314013995
"AUT","HKG",7.20749179645858e-05
"AUT","HUN",20.2551266760443
"AUT","HRV",0.0284644443875853
"AUT","IND",0.00483931592047933
"AUT","IDN",0.00909688428881593
"AUT","ISR",2.19653460705501
"AUT","ITA",0.344487218620164
"AUT","KOR",0.00229610095801466
"AUT","LTU",0.00311981430618136
"AUT","MYS",0.0214165470523341
"AUT","MEX",0.00646614978310855
"AUT","NLD",1.54446252781255e-05
"AUT","NOR",0.121214567391155
"AUT","CZE",7.34686409496838
"AUT","POL",38.9414397984209
"AUT","PRT",2.05928337041674e-05
"AUT","ROU",1.05416260194161
"AUT","RUS",0.257642090681264
"AUT","SVN",0.746227663146339
"AUT","SVK",3.78670807748239
"AUT","SGP",0.0896817907816489
"AUT","ESP",8.75195432427113e-05
"AUT","SWE",0.0373502521309336
"AUT","CHE",0.484060297258584
"AUT","THA",0.0103067132689358
"AUT","GBR",0.00220343320634591
"AUT","USA",0.000514820842604184
"AUT","UZB",0
"AUT","VNM",0.220919919978308
"AUT","BEL",0.0282018857578572
"AUT","LUX",0.000658970678533356
"AUT","SRB",0.00174009444800214
"AUT","MNE",2.05928337041674e-05
"BHR","NLD",10.9689213893967
"BHR","SAU",89.0310786106033
"BGD","AUS",0.340621844899884
"BGD","AUT",0.0237791681712886
"BGD","BHR",2.37988203763889
"BGD","BRN",0.0871575296195579
"BGD","CAN",0.614475322971708
"BGD","CHN",1.23808892131503
"BGD","CYP",0.0386657135347193
"BGD","AZE",0.000491305127505963
"BGD","DNK",0.0138548045956682
"BGD","FJI",0.0128721943406562
"BGD","FIN",0.00972784152461807
"BGD","FRA",0.209885550470547
"BGD","DEU",0.0900070993590925
"BGD","GRC",0.05355225889815
"BGD","IND",58.2589620196571
"BGD","IRL",0.0113491484453878
"BGD","ITA",0.84445525315725
"BGD","JPN",0.103321468314504
"BGD","JOR",0.0675053245193193
"BGD","KOR",0.05026051454386
"BGD","KWT",0.880124005414182
"BGD","LBN",0.0769875134801844
"BGD","MYS",2.58249627222235
"BGD","MUS",0.345338374123942
"BGD","NLD",1.08411389435466
"BGD","NZL",0.0700601111823504
"BGD","NOR",0.0157708945929414
"BGD","PHL",0.00142478486976729
"BGD","PRT",0.0586127017114614
"BGD","QAT",2.89830720818318
"BGD","SAU",21.582248163133
"BGD","SGP",2.2655062039555
"BGD","ZAF",0.103174076776252
"BGD","SWE",0.0590057458134662
"BGD","CHE",0.00432348512205248
"BGD","TWN",0.00845044819310257
"BGD","TZA",0.00481479024955844
"BGD","TTO",0.00599392255557275
"BGD","OMN",0.877176174649147
"BGD","GBR",2.52599618255916
"BGD","USA",0.0355704912314317
"BGD","BEL",0.0655892345220461
"BRA","ARG",50.2576116248782
"BRA","BHS",0.0106484932382068
"BRA","BGD",0.00491468918686467
"BRA","CHL",20.4713186930203
"BRA","COL",0.0655291891581957
"BRA","CYP",0.00491468918686467
"BRA","ECU",0.029488135121188
"BRA","DEU",0.0131058378316391
"BRA","GRC",0.0114676081026842
"BRA","GTM",8.20835005692848
"BRA","HKG",0.0253925607988008
"BRA","IND",2.65393216090692
"BRA","JPN",0.00163822972895489
"BRA","LBR",0.0409557432238723
"BRA","MLT",0.0253925607988008
"BRA","NLD",0.00491468918686467
"BRA","NOR",0.0565189256489438
"BRA","PAN",0.067986533751628
"BRA","PER",14.2419501486693
"BRA","PHL",0.00163822972895489
"BRA","PRT",0.00327645945790978
"BRA","SGP",0.0516042364620791
"BRA","SWE",0
"BRA","TTO",1.2385016750899
"BRA","GBR",0.0180205270185038
"BRA","USA",0.0180205270185038
"BRA","URY",2.44096229614279
"BRA","VEN",0.00327645945790978
"BGR","AUT",33.3183729726964
"BGR","GEO",0.000503339236384044
"BGR","DEU",0.00167779745461348
"BGR","GRC",29.1594486422005
"BGR","HUN",0.364753166632971
"BGR","HRV",0.416429328235066
"BGR","ITA",0.762475053249097
"BGR","MKD",0.40451696630731
"BGR","POL",32.7158759067447
"BGR","ROU",2.85594682724307
"CMR","CAF",100
"CAN","ARG",0.00192373094206927
"CAN","AUS",0.00290010601166131
"CAN","BHS",0.000744221492673561
"CAN","BHR",0.00594425001733519
"CAN","BRB",7.859365885261e-06
"CAN","BGD",0.00155554987867512
"CAN","MMR",0.00079863248726383
"CAN","CHL",3.10558127336557
"CAN","CHN",28.318402699477
"CAN","COL",0.0985407294694025
"CAN","COM",0.013890522352289
"CAN","CRI",0.000687392231657058
"CAN","CUB",0.00215724479385251
"CAN","CYP",0.00159545127470798
"CAN","BEN",0.000331302500394079
"CAN","DMA",0.000540482546263334
"CAN","DOM",0.000131493236926482
"CAN","ECU",0.00167767233319994
"CAN","EGY",0.00769190093524429
"CAN","SLV",0.0019284163332701
"CAN","FRA",6.49909102050429e-05
"CAN","GMB",3.62739963935123e-05
"CAN","GTM",0.00252527471559502
"CAN","GUY",0.00162840015476542
"CAN","HTI",0.0457469505516781
"CAN","HND",0.000740140668079291
"CAN","HKG",0.649744811075097
"CAN","IND",0.513942072235414
"CAN","IDN",0.0021274698884795
"CAN","IRQ",0.00824205654721256
"CAN","ISR",0.00093073029079687
"CAN","JPN",0.74601614864513
"CAN","KOR",3.97746456209655
"CAN","KWT",0.0100022522222077
"CAN","LAO",0.00029774905373008
"CAN","LBN",0.0112405557740913
"CAN","MYS",0.468158243120736
"CAN","MUS",0.00159877639104406
"CAN","MEX",4.27428847777695
"CAN","NPL",0.0177246837710832
"CAN","NLD",1.45696773639317
"CAN","NZL",0.0276465286346187
"CAN","NIC",0.000762660774173597
"CAN","NGA",4.83653285246831e-05
"CAN","NOR",0.00102050843187081
"CAN","PAK",0.00191405787636433
"CAN","PER",0.000743768067718642
"CAN","PHL",0.00947416329137886
"CAN","QAT",0.00883181127191041
"CAN","SAU",0.0101772742548064
"CAN","SEN",1.93461314098732e-05
"CAN","SGP",0.0152542734750334
"CAN","ESP",0.000691926481206248
"CAN","TWN",0.27041115634811
"CAN","THA",0.000446170155640202
"CAN","TGO",0.000616053372083151
"CAN","TTO",0.00616703281185201
"CAN","OMN",0.000670464366673419
"CAN","TUR",0.00191420901801597
"CAN","ARE",0.0861430332103581
"CAN","GBR",0.000921057225091934
"CAN","USA",55.7819489729884
"CAN","BFA",7.01297263607905e-05
"CAN","VNM",0.0175877494346977
"LKA","MDV",10
"LKA","GBR",90
"CHL","ARG",38.7016429919141
"CHL","BRA",52.1081763716865
"CHL","COL",7.4274159398029
"CHL","PER",1.7627646965965
"CHN","AUS",0.380993641611132
"CHN","CAN",0.0382267867837256
"CHN","HKG",89.8533365613731
"CHN","PRK",0.043748433763597
"CHN","KOR",0.0745422342282649
"CHN","MAC",4.72971538033529
"CHN","MYS",0.177542187506637
"CHN","MNG",2.02559495746208
"CHN","NPL",0.781525418689501
"CHN","RUS",0.0569154381002136
"CHN","SGP",0.150358694682654
"CHN","THA",0.162251472793146
"CHN","ARE",0.355084375013273
"CHN","USA",1.1310881467229
"CHN","COD",0.039076270934475
"COL","PAN",99.2118268575324
"COL","PER",0.788173142467621
"CRI","NIC",100
"DNK","AUT",1.21117755799413e-05
"DNK","CHL",0.000799377188276128
"DNK","CYP",0.000109005980219472
"DNK","EST",7.2670653479648e-05
"DNK","FRO",0.118489500498566
"DNK","FIN",1.91085363764008
"DNK","FRA",0.000439051864772873
"DNK","DEU",2.73376400586803
"DNK","GHA",0.000151397194749267
"DNK","GRC",0.000793321300486158
"DNK","HUN",0.000193788409279061
"DNK","HRV",8.47824290595894e-05
"DNK","ISL",1.42161360280782
"DNK","IRL",0.00099922148534516
"DNK","ITA",0.000224067848228915
"DNK","LVA",0.0193485614889563
"DNK","LTU",0.00150488811580771
"DNK","MLT",0.00129595998705372
"DNK","NLD",0.04541310253699
"DNK","NOR",21.9737040634795
"DNK","CZE",0.0316783490293366
"DNK","POL",0.0549692934695638
"DNK","PRT",3.02794389498533e-06
"DNK","ROU",6.05588778997067e-06
"DNK","SVN",6.05588778997067e-06
"DNK","SVK",0.0014655248451729
"DNK","ESP",0.00631931890883439
"DNK","SWE",70.9042781849572
"DNK","CHE",0.151073204752503
"DNK","GBR",0.616883009725362
"DNK","BEL",0.000935634663550468
"DNK","LUX",0.00251622137673281
"BLR","ARM",0.000130588975229612
"BLR","CHN",6.75739022519543
"BLR","AZE",0.000401322216559297
"BLR","DNK",4.51702009909251
"BLR","EST",0.454965619506056
"BLR","GEO",0.000426802992213855
"BLR","DEU",0.112897354182957
"BLR","ISR",0.791956840279985
"BLR","KAZ",0.00123422507076768
"BLR","KGZ",0.00134092581882114
"BLR","LVA",5.27053918929759
"BLR","LTU",10.0963735489355
"BLR","NLD",2.33706329951806
"BLR","NOR",16.1279613976441
"BLR","CZE",0.0677119762050325
"BLR","POL",9.62179569491784
"BLR","RUS",43.748754328487
"BLR","UKR",0.0920365616642654
"ECU","PAN",100
"EGY","GBR",0.506053297438549
"EGY","VEN",99.4939467025615
"SLV","GTM",51.7812758906379
"SLV","HND",35.7912178956089
"SLV","NIC",12.4275062137531
"EST","BGR",0.0636426232985936
"EST","COG",0.13302027395093
"EST","CYP",1.45924085496853
"EST","DNK",0.0793824867725819
"EST","FIN",15.8506807423534
"EST","DEU",4.16723447632369
"EST","ISR",21.8627872232939
"EST","LVA",20.0433812570677
"EST","LTU",32.6538973915514
"EST","NOR",0.696212544788047
"EST","RUS",0.035210191449236
"EST","SVK",4.49453554368599e-05
"EST","ESP",0.145479126478028
"EST","SUR",0.0480915303174401
"EST","SWE",2.76072351235368
"EST","CHE",0.000970819677436173
"FJI","AUS",12.4380041828503
"FJI","CAN",3.44786375858978
"FJI","COK",16.8329847624739
"FJI","KIR",0.770839557812967
"FJI","VUT",2.07648640573648
"FJI","NZL",23.6121900209143
"FJI","PNG",1.46997311024798
"FJI","TON",9.0588586794144
"FJI","TUV",1.4669853600239
"FJI","USA",22.6889752016731
"FIN","AUT",0.00156977246148171
"FIN","BHR",0
"FIN","EST",27.2826453805521
"FIN","FRA",0.00313954492296342
"FIN","ISR",2.51634525575518
"FIN","ITA",0
"FIN","KWT",0.00156977246148171
"FIN","LVA",0.618490349823793
"FIN","LTU",0.00784886230740854
"FIN","MEX",0.00470931738444513
"FIN","MAR",0.00156977246148171
