"iso3","R0"
"ARM",0
"AFG",0
"ALB",0
"DZA",1.19616e+12
"ATG",0
"ARG",7.46176e+12
"AUS",9.968e+10
"AUT",1014141556635.93
"BHS",0
"BHR",0
"BRB",0
"BGD",1.00036e+12
"BMU",0
"BTN",0
"BOL",5.2332e+11
"BWA",0
"BRA",1.629768e+13
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",1477116408718.71
"MMR",169693333333.333
"BDI",0
"CMR",450933333333.333
"CAN",8870333333333.33
"CPV",0
"CAF",0
"LKA",119853333333.333
"TCD",109173333333.333
"CHL",522133333333.333
"CHN",730235506666667
"COL",1.1748e+12
"COM",0
"COG",0
"COK",0
"CRI",72386666666.6667
"CUB",5.696e+10
"CYP",0
"AZE",80693333333.3333
"BEN",646733333333.333
"DNK",17768604532.2928
"DMA",0
"DOM",3.5244e+11
"BLR",3.026e+11
"ECU",211226666666.667
"EGY",5.51088e+12
"SLV",6.408e+11
"GNQ",0
"EST",0
"FRO",0
"FJI",0
"FIN",0
"FRA",5971384702650.86
"PYF",0
"DJI",0
"GEO",159013333333.333
"GAB",0
"GMB",0
"DEU",1734789860685.15
"BIH",1127333333333.33
"GHA",2334173333333.33
"KIR",0
"GRC",530703659593.202
"GRL",0
"GRD",0
"GTM",9.5408e+11
"GIN",340573333333.333
"GUY",0
"HTI",0
"HND",5.874e+11
"HKG",0
"HUN",3243667872706.73
"HRV",1032486627445.37
"ISL",0
"IND",7602973333333.33
"IDN",4.56748e+12
"IRN",4946026666666.67
"IRQ",510266666666.667
"IRL",0
"ISR",4.45e+11
"ITA",2706350680915.51
"CIV",0
"KAZ",504333333333.333
"JAM",5.34e+10
"JPN",4979253333333.33
"JOR",141213333333.333
"KGZ",354813333333.333
"KEN",4.7704e+11
"KHM",5.7316e+11
"PRK",0
"KOR",7213746666666.67
"KWT",34413333333.3333
"LVA",0
"LAO",3.8448e+11
"LBN",4.272e+10
"LSO",0
"LBR",0
"LBY",182746666666.667
"LTU",48768275731.4141
"MAC",0
"MDG",20173333333.3333
"MWI",995613333333.333
"MYS",814053333333.333
"MDV",0
"MLI",1657773333333.33
"MLT",0
"MRT",0
"MUS",0
"MEX",11578306666666.7
"MNG",0
"MAR",2.67e+11
"MOZ",504333333333.333
"MDA",1240066666666.67
"NAM",111546666666.667
"NPL",895933333333.333
"NLD",69154363034.6537
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",194613333333.333
"NIC",225466666666.667
"NER",0
"NGA",4522386666666.67
"NOR",0
"PAK",5399333333333.33
"PAN",250386666666.667
"CZE",351351311182.177
"PNG",0
"PRY",5.22252e+12
"PER",9.0424e+11
"PHL",1490453333333.33
"POL",2567860936603.79
"PRT",310183202674.077
"GNB",0
"TLS",0
"ERI",0
"QAT",0
"ZWE",1116653333333.33
"ROU",5964286145294.64
"RWA",239706666666.667
"RUS",2974973333333.33
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",1709986666666.67
"SEN",706066666666.667
"SYC",0
"SLE",0
"SVN",167313964496.765
"SVK",662864157458.818
"SGP",0
"SOM",0
"ZAF",7.3158e+12
"ESP",1848243854626.72
"SUR",0
"TJK",132906666666.667
"SWZ",0
"SWE",5547778541.9705
"CHE",9.256e+10
"SYR",73573333333.3333
"TKM",0
"TWN",2863426666666.67
"TZA",3.67392e+12
"THA",2.08616e+12
"TGO",272933333333.333
"TON",0
"TTO",58146666666.6667
"OMN",129346666666.667
"TUN",223093333333.333
"TUR",2878853333333.33
"ARE",4.984e+10
"UGA",703693333333.333
"TUV",0
"GBR",0
"UKR",8784893333333.33
"USA",136573466666667
"BFA",0
"URY",3.738e+11
"UZB",169693333333.333
"VEN",358373333333.333
"VNM",5.8384e+12
"ETH",3494733333333.33
"YEM",47466666666.6667
"COD",6.408e+11
"ZMB",3128053333333.33
"BEL",184514655571.782
"LUX",248047566.108221
"SRB",2.94412e+12
"MNE",0
"SDN",0
"SSD",0
"PSE",0
