"iso3","P0"
"ARM",0
"AFG",1031319333333.33
"ALB",0
"DZA",843369333.333333
"ATG",0
"ARG",4005325333333.33
"AUS",1653527362666.67
"AUT",0
"BHS",0
"BHR",0
"BRB",0
"BGD",145979241333333
"BMU",0
"BTN",233312800000
"BOL",1318681886666.67
"BWA",0
"BRA",33028945600000
"ARB",0
"BLZ",44442337333.3333
"SLB",7676321333.33333
"BRN",4749733333.33333
"BGR",1.78248e+11
"MMR",73200900164000
"BDI",255364573333.333
"CMR",837760933333.333
"CAN",0
"CPV",0
"CAF",31535401333.3333
"LKA",10847422133333.3
"TCD",713751733333.333
"CHL",434404693333.333
"CHN",593517773333333
"COL",8251325926666.67
"COM",86678526666.6667
"COG",3413862666.66667
"COK",0
"CRI",516070800000
"CUB",1.247694e+12
"CYP",0
"AZE",22545320000
"BEN",713491221333.333
"DNK",0
"DMA",0
"DOM",2489923333333.33
"BLR",0
"ECU",3970348237333.33
"EGY",14081665733333.3
"SLV",89614298666.6667
"GNQ",0
"EST",0
"FRO",0
"FJI",22455066666.6667
"FIN",0
"FRA",236785920000
"PYF",0
"DJI",0
"GEO",0
"GAB",4763612000
"GMB",139066666666.667
"DEU",0
"BIH",0
"GHA",1914500541333.33
"KIR",0
"GRC",743443316000
"GRL",0
"GRD",0
"GTM",91844433333.3333
"GIN",5956079733333.33
"GUY",1728848856000
"HTI",450906400000
"HND",184084133333.333
"HKG",140000
"HUN",30316533333.3333
"HRV",0
"ISL",0
"IND",456751320666667
"IDN",158959733333333
"IRN",6743359466666.67
"IRQ",519288933333.333
"IRL",0
"ISR",0
"ITA",4390028533333.33
"CIV",5906133333333.33
"KAZ",1.268904e+12
"JAM",30426666.6666667
"JPN",30460266666666.7
"JOR",0
"KGZ",96352013333.3333
"KEN",279235600000
"KHM",2.7818e+13
"PRK",6407982840000
"KOR",15569105066666.7
"KWT",0
"LVA",0
"LAO",11471207066666.7
"LBN",0
"LSO",0
"LBR",820096666666.667
"LBY",0
"LTU",0
"MAC",0
"MDG",10396076133333.3
"MWI",295188133333.333
"MYS",7514754800000
"MDV",0
"MLI",7.298214e+12
"MLT",0
"MRT",682266666666.667
"MUS",1091066666.66667
"MEX",705253294666.667
"MNG",0
"MAR",162725546666.667
"MOZ",372583866666.667
"MDA",0
"NAM",0
"NPL",13363483214666.7
"NLD",0
"ANT",0
"NCL",0
"MKD",67572400000
"VUT",0
"NZL",0
"NIC",1125401097333.33
"NER",287331333333.333
"NGA",26686501333333.3
"NOR",0
"PAK",29540581933333.3
"PAN",858576133333.333
"CZE",0
"PNG",2392600000
"PRY",2463786266666.67
"PER",8827393372000
"PHL",51383200782666.7
"POL",0
"PRT",498385066666.667
"GNB",486266666666.667
"TLS",180745264000
"ERI",0
"QAT",0
"ZWE",3771497333.33333
"ROU",127604400000
"RWA",295808398666.667
"RUS",2965450040000
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",11200000
"SEN",2677169600000
"SYC",0
"SLE",2467811733333.33
"SVN",0
"SVK",0
"SGP",0
"SOM",4945276000
"ZAF",8615292000
"ESP",2349763733333.33
"SUR",780224732000
"TJK",261376360000
"SWZ",2558640000
"SWE",0
"CHE",0
"SYR",0
"TKM",3.64e+11
"TWN",4595319866666.67
"TZA",6176526533333.33
"THA",86294221066666.7
"TGO",390671866666.667
"TON",0
"TTO",4986800000
"OMN",0
"TUN",0
"TUR",2557333333333.33
"ARE",0
"UGA",598991866666.667
"TUV",0
"GBR",0
"UKR",178406666666.667
"USA",25177478666666.7
"BFA",966367733333.333
"URY",3836330400000
"UZB",1188271466666.67
"VEN",1763133325333.33
"VNM",122235170474667
"ETH",398346172000
"YEM",0
"COD",3116020842666.67
"ZMB",84571106666.6667
"BEL",0
"LUX",0
"SRB",0
"MNE",0
"SDN",85866666666.6667
"SSD",39937333333.3333
"PSE",0
