"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374535000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47345000,106635000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309485000,0,0,0,0,0,0,14760000,0,10920000,0,0,0,11780000,0,0,0,0,0,0,0,0,0,1845000,0,25695000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,3640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26909015000,0,18450000,0,0,3640000,0,0,0,0,0,0,0,0,0,0,33210000,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,9.185e+09,873837240000,0,0,12915000,0,20295000,42135945000,31365000,792900970000,0,0,264016585000,0,15718935865000,0,23855000,0,0,331740000,0,0,0,1147995000,12107500000,0,1176875720000,0,387905355000,144580000,212728510000,0,320090370000,0,155625000,272423405000,20430000,0,18450000,0,0,1951690000,38535000,70700665000,2618714210000,366365000,31365000,77790000,0,0,0,175855000,0,55395000,1245000,101065000,4935000,12520000,27349590000,27675000,0,14760000,0,7425000,93585000,0,164205000,5285120000,533850000,10470000,0,60321625000,0,3690000,697089525000,0,1.837e+11,0,26044060000,46155160000,40040000,0,86115000,299195000,168910800000,0,1100365370000,0,0,14760000,113634650000,145220000,0,94085000,0,16605000,51207210000,0,0,0,4.2084e+10,154052490000,0,6471250000,0,50644420000,128530000,2290110000,0,556010440000,809245135000,0,103675000,1845000,19016630000,0,0,0,0,22140000,86760000,0,352887700000,0,1245000,494390000,0,0,20224505000,1381109475000,7470000,0,263505000,0,0,0,1845000,0,18450000,0,433255000,0,1845000,22140000,0,16351920000,64377610000,0,7798320000,0,0,62730000,0,1025932505000,145791520000,206130000,0,0,0,2670330000,0,0,89150000,686204670000,1245000,3690000,0,720490000,288388960000,88413670000,43114390000,988563960000,25500900000,0,68760000,2438200000,12506540000,0,212373920000,0,9535775000,176713795000,0,272426305000,319115290000,0,4918680000,0,0,0,0,0,0
"AUS",0,0,0,0,0,133600000,0,0,0,17418740000,0,671529465000,0,0,0,0,2511680000,0,0,27438860000,84755000,40590000,296376900000,0,0,686185000,0,0,408208335000,0,5535000,4629918840000,0,0,0,925845000,0,0,38535000,0,0,3690000,0,0,0,0,5639989130000,0,0,0,0,420862450000,3735000,66485000,7034425000,0,0,0,58440000,55055000,0,0,18896040000,0,0,0,0,0,0,0,0,54732135000,6750000,0,0,7210605000,9432582345000,0,4940006960000,18450000,401190000,1332011890000,0,0,0,3871341910000,62515480000,0,0,72949990000,46040230000,3772108300000,955787945000,0,0,202029475000,0,0,0,0,0,0,5.511e+09,2780098790000,293030000,0,27675000,0,314487855000,0,1085500000,243349060000,38678870000,0,0,0,2730540000,0,100847550000,0,9387655000,1204400725000,0,0,0,58740000,1407551675000,0,0,447400260000,0,0,554958140000,5510000,0,0,18450000,0,31978050000,0,398580000,0,141385000,0,0,0,0,180570000,0,16605000,0,5535000,0,281861465000,0,729485200000,78672030000,0,0,0,115635000,1937375000,0,0,428408440000,213554590000,1557107090000,0,3780265000,0,263714710000,0,514468550000,1110360690000,0,913690000,40445930000,14740000,8076550000,0,0,0,0,1945210570000,45188530000,1161616930000,0,0,42315000,0,0,0,0,0,0
"AUT",22140000,1845000,234280000,281276430000,0,25830000,202950000,0,3690000,21264110000,0,0,0,0,0,0,12915000,0,0,0,0,107105000,0,0,0,833120000,0,0,1835000,0,0,1274845000,3690000,0,0,0,0,0,71955000,84870000,0,16952890000,0,23985000,58060000,0,2800710000,0,0,143910000,0,0,1143630000,22065640000,0,0,104700000,0,0,403126915000,26384455000,0,0,3.511e+09,0,0,0,0,0,0,0,20020000,100421105000,39550400000,20295000,0,0,3690000,0,1374525000,21479700000,1255044310000,0,16585000,0,610695000,0,0,3690000,0,0,0,29520000,71355000,0,33210000,0,0,64575000,57070000,0,0,0,7370000,0,0,99630000,0,0,9225000,31365000,11070000,0,21840000,0,0,19738465000,0,0,14654330000,0,0,0,0,0,2984115000,0,3690000,43727700000,0,0,18450000,13560000,30808010000,1958555000,0,0,0,0,0,12806100000,0,2428020000,0,0,0,0,27675000,0,0,0,125155620000,4663630000,193725000,0,271180000,3353215000,0,0,0,2879150000,49279740000,25505000,0,531360000,0,11070000,0,0,29520000,36506200000,0,23385000,47219815000,0,0,18521480000,152560000,5130160000,0,20295000,9225000,1845000,3690000,0,0,0,0,14030105000,51580000,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960000,0,0,0,0,0,0,0,0,0,0,0,1268480000,0,0,0,0,0,0,0,0,10710890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5535000,0,0,0,0,0,0,0,0,0,0,52400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
