"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013420000,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367520000,184500000,0,0,0,0,0,0,0,0,0,0,0,0,0,403700000,0,0,0,0,0,0,0,0,0,0,0,0,7380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58880000,0,0,3690000,0,0,0,0,62390000,883280000,0,0,0,23520000,0,0,0,0,0,0,0,0,0,0,0,128236510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4183260000,0,0,0,0,0,0,0,47970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37270720000,0,0,0,0,0,0,29520000,0,0,0,0,0,0,81180000,1299180000,0,14760000,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",3690000,0,32370000,1156867180000,18630000,0,0,0,25830000,30051380000,14760000,168416160000,0,0,1952033510000,0,29745007800000,0,0,0,0,410850000,0,0,55292440000,4295180000,0,0,72377800000,3312400000,1422810010000,145240000,1524644810000,0,243460960000,0,508020000,323392250000,0,0,0,0,74070000,1236240000,0,337147240000,118743680000,424350000,531990000,341130000,0,0,0,4714860000,0,3494400000,48060000,359660000,10661610000,1435660000,0,0,0,0,0,66330000,471610000,0,27362490000,68413180000,970470000,228780000,0,4980000,0,653978980000,233108620000,1216548240000,0,0,2688430000,1085150000,123624900000,0,139020000,612540000,0,0,1189841600000,0,0,403320000,0,39840000,0,198150000,0,0,342210000,19920000,0,265845300000,87852020000,85201100000,0,2.7555e+10,0,0,31540570000,581080000,121770000,669519700000,467114770000,0,58807800000,0,3551470000,0,0,0,0,0,29520000,0,1440739060000,1.002e+09,1333672020000,567110000,0,3690000,64136670000,2832248230000,70618280000,0,0,0,0,0,3690000,0,7470000,1.67e+10,4980000,18350000,44280000,34500000,0,81180000,45250320000,0,16843090000,0,0,551440000,0,2973274860000,3865740000,699490000,0,0,0,10390740000,4.2084e+10,0,239850000,610729020000,0,0,0,851550000,191996560000,0,0,670459670000,1.14896e+11,0,21417480000,0,22201490000,0,275931230000,0,156675660000,9466010000,0,180593800000,264414440000,0,20440110000,0,0,0,0,0,0
"AUS",0,0,0,130433680000,0,0,0,0,0,81327710000,0,1723779130000,0,0,0,0,317470000,0,11070000,70395610000,2848350000,0,541389920000,0,0,2896750000,0,0,185996540000,0,7380000,1335779460000,0,0,0,2044580000,0,0,58980000,0,0,3690000,0,0,0,0,2436569510000,0,0,0,0,890926120000,0,51660000,13449210000,0,0,0,25830000,2306810000,0,0,19465010000,3690000,0,0,0,0,0,0,0,45695710000,14760000,0,0,210259960000,15747008080000,5265540060000,4213587020000,1153290000,69450700000,1388898680000,0,0,0,6128942250000,83500000,0,58486700000,100192820000,0,4903078750000,2048344990000,0,0,7.348e+10,0,0,0,0,1256190000,0,4.175e+10,5225432300000,598230000,0,95940000,0,195976160000,29520000,0,0,114438420000,0,0,0,1594460000,0,191516900000,0,10495020000,1958150060000,0,0,2454900000,11010000,1550620000,0,0,931273410000,0,0,988817710000,684700000,0,0,118080000,0,311155950000,0,0,8.517e+09,33210000,0,0,0,0,257784080000,0,2388050000,0,1310400000,0,663900210000,0,346951250000,434967330000,0,0,0,37350000,17340000,58082600000,0,1740766160000,368632760000,2248794340000,0,935680000,0,141424220000,2.275e+09,0,1.5478e+12,3.34e+09,1648220000,311717930000,14680000,9140140000,0,0,0,0,5178018670000,34245020000,3606628860000,0,0,21147450000,0,0,0,0,0,0
"AUT",6.9e+07,25830000,512760000,0,0,3690000,652870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11617750000,0,0,0,1330690000,0,0,0,17250000,0,62580000,0,0,0,3690000,0,0,87540000,464940000,0,16190570000,0,0,183520000,0,103320000,0,0,66420000,0,0,1414260000,96914900000,0,0,186990000,0,50460000,1343462520000,17658590000,0,0,69960320000,0,0,0,0,0,0,0,73050000,151072240000,34173500000,0,0,0,55350000,29370000,661670000,95940000,2591820040000,0,0,0,413230000,91650000,0,0,0,0,36400000,269300000,11280510000,0,59040000,0,0,413280000,385790000,0,0,0,174720000,778960000,0,317330000,0,0,59040000,0,0,0,120890000,0,0,126850660000,0,0,8395120000,0,0,0,0,0,7321360000,0,0,141752540000,0,0,55350000,3670000,72737070000,4533090000,0,0,0,0,0,21904650000,0,6481280000,0,0,0,0,114480000,0,0,0,274354120000,31432960000,3690000,0,623210000,9883160000,0,0,0,5394340000,382033700000,25730000,1805440000,11050000,0,36900000,0,0,0,11070000,0,126180000,1498580000,0,0,29382360000,381690000,6044220000,0,51660000,0,3690000,0,0,55350000,0,0,44112780000,136410000,16827260000,660460000,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29520000,0,0,0,0,14760000,0,0,302130000,0,0,0,0,0,797770000,0,0,0,0,0,0,0,0,0,0,7380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29500000,0,0,0,0,0,0,0,0,14464130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980000,0,0,70210000,0,0,0,0,14760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
