"","1","2","3","4","8","9","10","11","12","13","14","16","17","18","19","20","21","22","23","25","26","27","28","29","32","33","35","37","38","39","40","41","44","45","46","47","48","49","50","52","53","54","55","56","57","58","59","60","61","63","64","66","67","68","70","72","73","74","75","79","80","81","83","84","85","86","89","90","91","93","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","112","113","114","115","116","117","118","119","120","121","122","123","124","126","128","129","130","131","132","133","134","136","137","138","141","143","144","146","147","149","150","151","153","154","155","156","157","158","159","162","165","166","167","168","169","170","171","173","174","175","176","178","179","181","183","184","185","188","189","191","193","194","195","196","197","198","199","200","201","202","203","207","208","209","210","211","212","213","214","215","216","217","219","220","221","222","223","225","226","227","229","230","231","233","234","235","236","237","238","249","250","251","255","256","272","273","276","277","299"
"Armenia",0,0,0,0,0,814488.888888889,156588.888888889,14166.6666666667,0,188.888888888889,0,0,NA,0,0,0,170377.777777778,NA,0,0,0,882866.666666666,0,0,434444.444444445,2707722.22222222,0,0,0,0,0,8248588.88888888,0,0,0,0,0,0,188888.888888889,0,0,755.555555555556,0,0,8655077.77777777,0,0,0,0,1097633.33333333,0,0,55533.3333333334,10827677.7777778,0,0,8668300,0,0,5181222.22222222,0,0,0,311477.777777778,NA,0,0,0,0,0,0,50622.2222222222,1888.88888888889,0,16811.1111111111,49866.6666666667,0,0,81600,0,675655.555555555,5569011.11111111,453333.333333333,4450411.11111111,0,473355.555555555,75555.5555555556,242533.333333333,0,755.555555555556,0,887211.111111111,547777.777777778,2710366.66666667,0,1354900,0,0,0,11930033.3333333,0,0,0,0,0,0,0,0,0,37022.2222222222,214200,0,2455.55555555556,1700,0,0,2136333.33333333,NA,0,0,0,0,0,0,566.666666666667,13222.2222222222,0,0,1858477.77777778,0,0,0,188.888888888889,7579166.66666667,0,0,0,0,0,0,0,0,669576733.333333,0,0,0,0,0,0,0,0,0,37777.7777777778,16055.5555555555,0,0,12844.4444444445,0,94444.4444444444,0,812222.222222222,12096633.3333333,37777.7777777778,422166.666666667,20211.1111111111,3966.66666666667,5100,0,0,0,16055.5555555556,0,0,226477.777777778,377.777777777778,0,1581755.55555556,29128744.4444445,52954244.4444445,0,188.888888888889,0,0,71966.6666666667,0,0,0,0,5060144.44444444,188.888888888889,5100,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,1511.11111111111,0,NA,0,0,0,0,NA,0,0,0,0,78955.5555555556,0,0,188.888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,566.666666666667,0,0,0,0,0,0,0,2077.77777777778,0,3966.66666666667,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,944.444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160555.555555556,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220811.111111111,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,11144.4444444444,0,0,0,0,0,0,0,377.777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,566.666666666667,566.666666666667,0,0,0,0,NA,0,0,0,0,NA,0,0,0,18888.8888888889,0,0,0,0,0,0,0,0,0,19644.4444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.888888888889,0,0,0,0,0,91044.4444444444,944.444444444444,0,0,38911.1111111111,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513022.222222222,0,0,0,0,0,0,1511.11111111111,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,528888.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37777.7777777778,37777.7777777778,0,0,0,377.777777777778,0,0,0,0,80844.4444444444,0,0,0,0,0,0,0,3022.22222222222,0,0,0,0,0,0,289000,0,661111.111111111,0,0,0,0,0,0,0,0,0,755.555555555556,0,56666.6666666667,186433.333333333,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,148806666.666667,0,0,319222.222222222,8740455.55555556,0,0,0,0,0,9347922.22222223,0,0,207777.777777778,0,0,0,0,0,1114444.44444444,9916666.66666667,0,0,0,0,170000,0,0,0,0,0,2965744.44444444,1723384444.44445,4136666.66666666,0,0,0,0,4101722.22222222,0,0,0,0,NA,0,0,0,0,0,0,0,566.666666666667,0,0,0,491111.111111111,0,0,170000,0,332255.555555555,138348266.666667,0,0,4625322.22222222,0,0,0,0,0,322244.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,56666.6666666666,0,0,0,340000,0,408918566.666667,0,0,0,0,3551111.11111111,NA,0,0,0,0,0,75555.5555555556,226666.666666667,18888888.8888889,0,0,377.777777777778,0,0,0,0,0,377.777777777778,0,0,0,377.777777777778,0,0,151111.111111111,0,0,0,0,0,0,1114444.44444444,0,0,0,0,188.888888888889,0,0,302222.222222222,0,0,0,14072977.7777778,608562977.777777,0,0,0,151111.111111111,0,0,0,3022.22222222222,0,0,188.888888888889,0,0,0,2795555.55555556,0,102964466.666667,18888.8888888889,0,0,0,0,0,0,0,0,12203922.2222222,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,46088.8888888889,0,0,0,37022.2222222222,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,2077.77777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.666666666667,0,0,0,0,0,0,0,0,0,14166.6666666667,197955.555555555,0,0,0,0,0,0,0,0,0,0,NA,11711.1111111111,0,0,377.777777777778,0,1511.11111111111,0,0,0,0,0,0,0,0,188.888888888889,0,0,0,0,944.444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133.33333333333,0,0,0,0,0,0,2644.44444444445,0,NA,0,0,0,4344.44444444445,0,0,0,0,0,0,0,0,0,0,0,188.888888888889,0,0,0,0,0,0,34944.4444444444,0,0,2455.55555555556,845466.666666666,84622.2222222223,0,0,0,0,0,0,0,566.666666666667,0,0,0,0,0,0,267844.444444445,944.444444444444,0,0,0,0,0,0,0,52888.8888888889,0,0,0,0,0,0,951244.444444445,944.444444444444,645433.333333333,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0
"Argentina",1039833.33333333,0,207777.777777778,1227777.77777778,25060455.5555555,0,552088977.777778,67853044.4444445,87686000,1583455.55555556,36324655.5555556,245555.555555556,NA,0,726833866.666667,0,6027312033.33333,NA,2725288.88888889,0,0,22499688.8888889,702288.888888889,208344.444444445,20496522.2222222,9144847400,245555.555555556,170000,9722300,0,1283348700,2943782711.11111,1070814888.88889,717777.777777778,3621944.44444444,0,314789377.777778,37939088.8888889,10241744.4444444,1832222.22222222,6960933.33333333,2644295033.33333,3043377.77777778,169257288.888889,34483177.7777778,565407911.111111,151111.111111111,37841055.5555555,1662222.22222222,160123188.888889,0,2185444.44444444,1044126588.88889,1306928455.55556,0,194517777.777778,311761111.111111,547777.777777778,1926666.66666667,2558874566.66667,329422.222222222,39988722.2222222,0,18479755.5555556,NA,8074244.44444444,126030255.555556,0,1662222.22222222,36176377.7777778,37799877.7777778,209889177.777778,8322444.44444444,4223366.66666667,80077177.7777778,24022322.2222222,14821166.6666667,264444.444444445,58933.3333333334,655668466.666667,134554433.333333,218875566.666667,125142477.777778,15271477.7777778,97874855.5555555,5833405311.11111,765188.888888889,0,25036466.6666667,12282122.2222222,0,267806100,0,128541722.222222,1703022.22222222,769344.444444445,0,45597777.7777778,0,99702922.2222222,147900,19208866.6666667,0,75871000,13452288.8888889,0,18562300,18888.8888888889,10501277.7777778,2300794922.22222,3015800,35136166.6666667,1868300,906666.666666667,0,321111.111111111,3959176277.77778,NA,0,0,0,169786555.555556,30077344.4444445,740444.444444445,25914988.8888889,713502088.888889,0,275930966.666667,528267633.333333,0,10299275466.6667,1437227600,67025711.1111111,526184188.888889,72469488.8888889,18870000,0,0,19900577.7777778,0,104950822.222222,0,7314707111.11111,965222.222222222,80656311.1111111,1960477.77777778,37777.7777777778,642222.222222222,1125777.77777778,14775833.3333333,8697577.77777778,8254444.44444444,11433066.6666667,207283266.666667,0,2575989977.77778,5475755911.11111,10531688.8888889,0,0,1526924888.88889,1287103811.11111,415555.555555555,28144.4444444444,219658700,3898100,52511300,64717111.1111111,0,36027911.1111111,0,0,14780177.7777778,154530000,638444.444444445,0,11039153433.3333,78412688.8888889,29199598933.3333,10254022.2222222,1759007944.44444,0,546335800,58795633.3333333,0,0,0,0,1123308055.55556,18165255.5555556,3617222.22222222,188888.888888889,0,0,28522.2222222222
"Australia",585555.555555555,113333.333333333,396666.666666667,1813333.33333333,515288.888888889,4956255.55555556,0,144141488.888889,18104433.3333333,113185055.555556,41919166.6666667,19981611.1111111,NA,916866.666666667,0,0,156182966.666667,NA,738933.333333333,50609566.6666667,4753011.11111111,5538600,18120111.1111111,0,565722.222222222,22460201100,0,0,88446466.6666667,0,4776622.22222222,22299923966.6667,11598911.1111111,0,0,31904655.5555556,10396255.5555556,780111.111111111,8023433.33333333,7366.66666666667,871722.222222222,6867838122.22222,2223222.22222222,9396655.55555556,3500488.88888889,510000,1611600,760655.555555555,0,48035200,0,435424211.111111,1927251655.55555,1509797577.77778,25012288.8888889,0,5802477.77777778,0,0,8271390044.44445,18888.8888888889,11365633.3333333,4552977.77777778,5621333.33333333,NA,1209455.55555556,1615566.66666667,358888.888888889,1104622.22222222,33055.5555555556,151111.111111111,3579719277.77778,117677.777777778,2436666.66666667,134040466.666667,424024955.555556,383801633.333333,4483466.66666667,3267777.77777778,3925201777.77778,50164355.5555555,1383542922.22222,188888.888888889,126744.444444444,51497722.2222222,5513048055.55555,831111.111111111,0,29817055.5555556,65083177.7777778,547777.777777778,1007767933.33333,0,430086211.111111,13289466.6666667,918188.888888889,0,170000,0,18701133.3333333,26970500,0,18888.8888888889,1533448355.55556,41830577.7777778,209100,14277544.4444444,188888.888888889,21789466.6666667,94922900,7139433.33333333,1229477.77777778,0,173966.666666667,170000,46055833.3333333,12516862188.8889,NA,127531355.555556,207777.777777778,164068322.222222,15938738733.3333,40252222.2222222,3298188.88888889,36247022.2222222,1784041577.77778,2676555.55555556,18324488.8888889,55783233.3333333,354259411.111111,604444.444444445,3439666.66666667,566510833.333333,375056266.666667,22836100,0,15865911.1111111,0,134338722.222222,7083333.33333333,4054311.11111111,0,567930522.222222,580455.555555555,2840511.11111111,27388.8888888889,0,1314288.88888889,629755.555555555,15031777.7777778,914411.11111111,14211811.1111111,4596988.88888889,3079988411.11111,207777.777777778,52527166.6666667,200358600,2250800,0,3408877.77777778,5620454433.33333,1019103533.33333,490544.444444445,0,1192251177.77778,1384933.33333333,1374356877.77778,604822.222222222,24793366.6666667,51325266.6666667,86948577.7777778,0,14756944.4444444,1370902100,12608144.4444444,12253411.1111111,118286358322.222,21492155.5555555,79648305366.6667,2644.44444444445,14714822.2222222,0,944444.444444445,304043677.777778,1700000,78200,141666.666666667,18888.8888888889,6010708700,270488.888888889,285600,0,0,0,0
"Austria",180577.777777778,0,709655.555555556,47977.7777777778,0,1780844.44444444,24317555.5555555,0,821100,57800,93311.1111111111,0,NA,0,0,188.888888888889,3842755.55555556,NA,18888.8888888889,0,0,9270100,107100,0,0,124403733.333333,0,0,236488.888888889,75555.5555555556,193611.111111111,80038644.4444445,1635588.88888889,0,27766.6666666667,0,2455.55555555555,47977.7777777778,11096088.8888889,237811.111111111,0,104615544.444444,0,423111.111111111,1566266.66666667,0,784833.333333333,0,0,12084355.5555556,0,0,111081588.888889,85975800,0,0,150733.333333333,40800,0,17832753688.8889,1257622.22222222,2138222.22222222,0,4256233.33333333,NA,0,45900,1511.11111111111,0,0,18888.8888888889,14290955.5555556,129844300,32048400,1990511.11111111,930088.888888889,389300,343022.222222222,0,10433466.6666667,3436266.66666667,392597622.222222,1511.11111111111,1880955.55555556,18888.8888888889,97416800,141666.666666667,537011.111111111,1059666.66666667,740822.222222222,18888.8888888889,7480188.88888888,43633.3333333333,27141066.6666667,44577.7777777778,407622.222222222,0,0,113333.333333333,16960711.1111111,115033.333333333,0,0,1984466.66666667,998088.888888889,755.555555555556,3486511.11111111,0,21722.2222222222,1218144.44444444,1640688.88888889,89344.4444444444,18700,1013577.77777778,33811.1111111111,755.555555555556,771195366.666667,NA,0,489977.777777778,0,282577.777777778,30788.8888888889,0,7378755.55555556,240298211.111111,136377.777777778,547966.666666667,3167956422.22222,1888.88888888889,19455.5555555556,209855.555555556,1167144.44444444,312755044.444444,1215877.77777778,19077.7777777778,0,0,618800,56666.6666666667,17822988.8888889,0,53920033.3333333,13222.2222222222,0,0,0,173400,53644.4444444444,78766.6666666667,0,189591555.555556,552207411.111111,8905166.66666667,0,183033.333333333,24387066.6666667,0,2021111.11111111,4911.11111111111,485211733.333333,1237100955.55556,2115555.55555556,364933.333333333,15313788.8888889,33244.4444444444,15844377.7777778,566.666666666667,0,16433.3333333333,38155.5555555556,73666.6666666667,6056344.44444444,7490011.11111111,39477.7777777778,0,253102611.111111,7328133.33333333,805399177.777777,944.444444444444,34188.8888888889,0,196066.666666667,7129044.44444444,32300,0,6233.33333333333,0,111189633.333333,11175233.3333333,2736055.55555556,160366.666666667,0,0,0
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73477.7777777778,0,0,0,0,0,56666.6666666667,0,0,0,0,NA,0,0,0,0,188.888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,188.888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.777777777778,0,1133.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151111.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241777.777777778,0,707200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
