Commodity,Years,Number of Countries,In Degree (Mean),In Degree (Median),In Degree (Max),Out Degree (Mean),Out Degree (Median),Out Degree (Max),In Strength (Mean),In Strength (Median),In Strength (Max),Out Strength (Mean),Out Strength (Median),Out Strength (Max),Total Degree (Mean),Total Degree (Median),Total Degree (Max),Eigenvector Centrality (Mean),Eigenvector Centrality (Median),Eigenvector Centrality (Max),Closeness Centrality (Mean),Closeness Centrality (Median),Closeness Centrality (Max),Betweenness Centrality (Mean),Betweenness Centrality (Median),Betweenness Centrality (Max),PageRank (Mean),PageRank (Median),PageRank (Max),Clustering Coefficient (Mean),Clustering Coefficient (Median),Clustering Coefficient (Max),community_count (Mean),community_count (Median),community_count (Max),community_modularity (Mean),community_modularity (Median),community_modularity (Max),global_clustering_coefficient (Mean),global_clustering_coefficient (Median),global_clustering_coefficient (Max)
Banana,2000-2001 to 2020-2021,191,6.538586956521739,3.0,55,6.538586956521739,2.0,85,66782339918.478264,851965500.0,3115311168000.0,66782339918.478264,18345000.0,4155974211000.0,13.077173913043477,7.0,97,0.0207957372132343,7.024297188859265e-08,0.6973977583353652,0.1766150964282451,0.18756273804478807,0.37434895833333337,0.017545107881701057,0.0,0.36431155970291373,0.005978260869565218,0.0022172500020653874,0.0915191007320341,0.0003504921823235022,6.0100604630070224e-05,0.013836670489915404,6.17445652173913,7.0,9,0.3096477910093055,0.32068965517241377,0.3703331341933531,0.00035049218232350226,0.00042676918310074926,0.0005160967830627601
Barley,2000-2001 to 2020-2021,191,21.878846153846155,17.0,104,21.878846153846155,7.0,175,655743995251.7068,65713940000.0,34427690468300.0,655743995251.7068,718762250.0,26529972084950.0,43.75769230769231,25.0,264,0.020948861962419064,0.0018116412594986926,0.9072100018833976,0.36527937517240616,0.3528490648107873,0.6030002542588354,0.01706760708598193,0.00046810704538105725,0.5357885454376683,0.005288461538461539,0.002820022232521295,0.10321105199791401,0.00028049179180000274,0.00013939234497179195,0.012421763956652355,3.54375,4.0,4,0.1688027149223911,0.1766337140453457,0.19698857437767517,0.00028049179180000274,0.00029233259953158347,0.0004503805889599371
Cassava,2000-2001 to 2020-2021,191,6.129720853858785,4.0,57,6.129720853858785,1.0,114,132324430119.54024,658710000.0,30622606455300.0,132324430119.54024,1060000.0,25799411926800.0,12.25944170771757,5.0,131,0.0059123897080629794,2.8879923239152966e-07,0.9909447053745668,0.16714318017600885,0.16694140023548593,0.3466613354658136,0.013043514842897326,0.0,0.2692538207971232,0.0060207991242474,0.002647712741167137,0.10985037581947626,4.8841783815993036e-05,8.075245175024329e-06,0.0022182579778349805,5.462506841817187,5.0,7,0.2730632931018057,0.28769563711911356,0.31548472655379817,4.884178381599305e-05,4.1142688738103476e-05,0.00010633216379255473
Cocoa,2000-2001 to 2020-2021,191,28.513982642237224,25.0,112,28.513982642237224,11.0,178,210429799792.96045,18344726475.0,6958787761900.0,210429799792.96045,2579483175.0,8653226054550.0,57.02796528447445,37.0,269,0.02153146021224576,0.0009256801938650951,0.5569209712650137,0.3840866522735007,0.3699931916182655,0.6347317569285532,0.01385377483026274,0.0022303348704027825,0.2718049754014667,0.005303760848601736,0.0024109528052637095,0.11149562787826288,0.0003751907898465975,0.00025443706838561243,0.005073483045247316,3.0,3.0,3,0.14169446938009964,0.13887057571141465,0.1696266074521573,0.0003751907898465975,0.00035660163958757334,0.0004979707836499261
Coffee,2000-2001 to 2020-2021,191,13.388097660223805,6.0,83,13.388097660223805,3.0,108,15239289580.493387,208327500.0,704990590600.0,15239289580.493387,7738550.0,1094035536950.0,26.77619532044761,14.0,175,0.01807912794587631,9.517839495105683e-05,0.6849768026613651,0.2725265922044599,0.26956833892099036,0.5009840758633028,0.015558890752288964,0.0,0.4101607940260422,0.005595116988809766,0.001920633984686463,0.14354350212193237,0.00032744277403873117,0.00017129044391233776,0.004168630454774507,4.458799593082401,4.0,5,0.1425672826285139,0.1437807521170962,0.16530372783246639,0.0003274427740387312,0.0003221730288053195,0.0005549146035369203
Groundnuts,2000-2001 to 2020-2021,191,13.172983479105929,10.0,77,13.172983479105929,4.0,138,90635507301.91934,7878983900.0,8662300356050.0,90635507301.91934,291300750.0,5058999850300.0,26.345966958211857,14.0,204,0.021977225887290584,0.0007365776811128881,0.644782122983263,0.287678825398871,0.2768817204301075,0.5053634085213032,0.013774795422264619,0.0,0.27809802283486496,0.005344995140913508,0.002479215692787789,0.06626502397411958,0.0003903619381923291,0.00024399647049190318,0.006225479637077765,4.078717201166181,4.0,6,0.23171611745741508,0.23741232069745022,0.27227851496414585,0.0003903619381923291,0.0004031805112154001,0.0006173985248620183
PalmOil,2000-2001 to 2020-2021,191,7.8799212598425195,6.0,48,7.8799212598425195,1.0,162,1644363284414.9607,116401805000.0,78410425272400.0,1644363284414.9607,87604400.0,244106761168400.0,15.759842519685039,9.0,190,0.021703501295351344,0.0006252751729677833,0.5976106199165395,0.20419335909829459,0.19826387322375705,0.35937540327784223,0.014447595558202663,0.0,0.3358256752993595,0.0054133858267716535,0.002870296871586192,0.059951905465144645,0.0005598698341922373,0.00017128879690281814,0.03426863634655903,4.623523622047244,5.0,6,0.28611651133134547,0.291233472130908,0.32329457474190276,0.0005598698341922373,0.0005468382138127102,0.0008741767039465788
RapeseedOil,2000-2001 to 2020-2021,191,6.781333333333333,4.0,40,6.781333333333333,0.0,98,278560358987.73334,3231020000.0,17255187479400.0,278560358987.73334,0.0,28941242142800.0,13.562666666666667,5.0,126,0.0068188547183656145,0.0,0.7704151833254619,0.16404784748968101,0.16582884137847495,0.29370759019615117,0.010606169658806387,0.0,0.22267259152505053,0.005866666666666667,0.0029449250281689916,0.1254718159863558,0.00027267057025893445,5.17626826026785e-05,0.02045372330383589,4.267733333333333,4.0,5,0.28874786470644526,0.3028971263945923,0.32187928915701103,0.00027267057025893445,0.00021090104632264528,0.000700865431951221
Rice,2000-2001 to 2020-2021,191,15.317131857555342,13.0,78,15.317131857555342,4.0,168,613721357540.9769,137683305000.0,13396015700100.0,613721357540.9769,703883600.0,63606881428150.0,30.634263715110684,17.0,215,0.029072873412241917,0.004982290025269079,0.7179864450892746,0.3028539753917795,0.2911340062606112,0.49591736350221344,0.015998151849588374,7.114829769292012e-05,0.349874686716792,0.0052935514918190565,0.003030871159973496,0.04481668766749659,0.0006264116045130899,0.0003321310857223776,0.01341028267762595,3.451395572666025,3.0,5,0.21142851779968344,0.21579488787363013,0.24575756377218574,0.00062641160451309,0.0006494891422735897,0.0010306379440114448
Soybean,2000-2001 to 2020-2021,191,15.531535869041887,12.0,68,15.531535869041887,4.0,143,3074553377106.4756,158496510000.0,337194576118850.0,3074553377106.4756,839175000.0,339779370570150.0,31.063071738083774,17.0,194,0.018510918214923254,0.00054150383196113,0.8977404339693257,0.28342743266730763,0.2739614994934144,0.47980416156670747,0.016124162500323197,0.0,0.37103870788081317,0.005296100144439095,0.003050750973419661,0.05843907535583433,0.00014472145787188437,4.413227336432622e-05,0.003858428956697183,3.633124699085219,4.0,4,0.2055922833201493,0.20217443940808966,0.22867308831030259,0.00014472145787188437,9.250763741682809e-05,0.00046810849077318534
