"From","To","virtual_water_km3"
"United States of America","Japan",115.932714876002
"United States of America","Mexico",82.0000803990833
"United States of America","Egypt",38.8294311655827
"United States of America","Republic of Korea",38.7458152792037
"Brazil","Netherlands",38.391773903589
"Australia","Japan",28.5314382025957
"Argentina","Brazil",27.2507327641851
"Canada","United States of America",25.3710452729332
"United States of America","China",24.967208512442
"United States of America","Netherlands",24.5296053829892
