"WF_Crop","n_traders","n_connections","total_volume_Mt","avg_trade_size_Mt"
"Sugar",103,184,229.341,0.633538674033148
"Tropical Roots",141,471,311.103,0.282307622504537
"Rapeseed",113,579,38172.447,26.5639853862213
"Rice",158,608,6608.808,5.22435415019758
"Tropical Cereals",164,808,34312.567,13.8245636583398
"Soyabean",169,1001,174399.211,73.8353983911932
"Groundnut",180,1077,6348.59857142856,2.40386163249851
"Sunflower",161,1184,11079.598,3.63623170331473
"Maize",190,1862,333098.604,68.4261717337753
"Temperate Roots",195,1965,30324.145,5.64590299757961
"Temperate Cereals",185,2090,591912.979,72.6184491473454
"Pulses",191,2852,23345.113,1.91730560118267
