"WF_Crop","Water_Type","n_nodes_early","n_edges_early","total_volume_km3_early","density_early","reciprocity_early","transitivity_early","mean_degree_early","centralization_early","clustering_coef_early","avg_path_length_early","n_nodes_late","n_edges_late","total_volume_km3_late","density_late","reciprocity_late","transitivity_late","mean_degree_late","centralization_late","clustering_coef_late","avg_path_length_late"
"Groundnut","Blue_Irrigated",160,1616,2.141,0.064,0.089,0.175,NA,0.863,0.175,2.87,11.875,95.049504950495,97.5712283979449,54.6875,14.6067415730337,26.8571428571429,NA,25.9559675550406,26.8571428571429,-14.2857142857143
"Maize","Blue_Irrigated",184,4133,27.063,0.123,0.286,0.277,NA,1.789,0.277,2.326,4.89130434782609,138.325671425115,-22.1594058308392,116.260162601626,21.3286713286713,49.4584837545126,NA,-1.39742873113471,49.4584837545126,-6.74978503869304
"Pulses","Blue_Irrigated",189,10148,7.712,0.286,0.275,0.36,NA,3.213,0.36,2.094,1.58730158730159,121.23571147024,110.24377593361,113.986013986014,21.4545454545454,25,NA,13.1963896669779,25,-8.59598853868195
"Rapeseed","Blue_Irrigated",91,1201,2.218,0.147,0.318,0.353,NA,1.11,0.353,2.198,39.5604395604396,133.805162364696,6.17673579801623,19.047619047619,30.503144654088,8.78186968838528,NA,13.7837837837838,8.78186968838528,0.545950864422202
"Rice","Blue_Irrigated",141,784,4.203,0.04,0.173,0.162,NA,0.489,0.162,3.17,27.6595744680851,156.122448979592,50.3449916726148,55,-11.5606936416185,33.9506172839506,NA,23.3128834355828,33.9506172839506,-4.13249211356466
"Soyabean","Blue_Irrigated",149,1760,17.466,0.08,0.22,0.27,NA,1.045,0.27,2.613,21.4765100671141,150.738636363636,64.6742242070308,68.75,20.9090909090909,19.2592592592593,NA,13.3971291866029,19.2592592592593,-12.0933792575584
"Sugar","Blue_Irrigated",69,210,0.001,0.045,0.038,0.105,NA,0.268,0.105,2.264,63.768115942029,257.142857142857,600,31.1111111111111,-23.6842105263158,51.4285714285714,NA,19.0298507462687,51.4285714285714,22.3056537102474
"Sunflower","Blue_Irrigated",146,2272,0.72,0.107,0.268,0.322,NA,0.996,0.322,2.433,17.1232876712329,156.646126760563,143.888888888889,87.8504672897196,23.8805970149254,21.4285714285714,NA,19.3775100401606,21.4285714285714,-15.5363748458693
"Temperate Cereals","Blue_Irrigated",182,6911,41.34,0.21,0.247,0.298,NA,2.303,0.298,2.279,3.84615384615385,123.643466936767,32.9487179487179,107.142857142857,42.5101214574899,33.5570469798658,NA,50.4993486756405,33.5570469798658,-4.91443615620887
"Temperate Roots","Blue_Irrigated",194,4387,0.746,0.117,0.218,0.31,NA,1.63,0.31,2.597,-0.515463917525773,89.5828584454069,156.56836461126,91.4529914529915,38.0733944954128,15.1612903225806,NA,39.2024539877301,15.1612903225806,-14.2857142857143
"Tropical Cereals","Blue_Irrigated",158,1810,8.771,0.073,0.12,0.201,NA,1.09,0.201,3.07,6.9620253164557,150.497237569061,31.9917911298598,119.178082191781,56.6666666666667,49.2537313432836,NA,38.2568807339449,49.2537313432836,-17.7198697068404
"Tropical Roots","Blue_Irrigated",105,577,0.022,0.053,0.024,0.204,NA,0.277,0.204,3.449,68.5714285714286,468.804159445407,768.181818181818,98.1132075471698,283.333333333333,28.921568627451,NA,271.119133574007,28.921568627451,-20.846622209336
