"ReporterISO3","total_virtual_water_km3","trade_volume_mt","n_crops"
"RUS",12.2343920578394,28.42080813,3
"ARG",11.6761221146605,39.6393527142857,6
"UKR",10.5088016137831,25.66636332,6
"BRA",6.39803897586665,15.3335195614286,7
"USA",5.0989859053428,25.2378956185714,10
"DEU",4.33977868664337,27.1867143,5
"POL",4.14485285873519,14.39266893,1
"AUS",3.33312581870896,4.56225759,6
"FRA",3.0474820449483,13.12365492,7
"ROU",2.64513327220452,10.0864662,2
"LTU",1.94223141705605,3.47640164,2
"LVA",0.692602067387863,2.4005026,1
"IND",0.391229685827836,0.540085187142857,11
"CAN",0.377027960325539,1.07180283,4
"EST",0.374295760323095,4.47948642,1
"EGY",0.268470333492848,0.2884005,10
"PRY",0.230163154804402,1.4253411,2
"CHN",0.142170296388935,0.2421915,6
"TUR",0.0884150612858562,0.0867436714285715,9
"DNK",0.0841999592440506,0.56255019,2
"URY",0.0783897314748661,0.0818664,1
"YEM",0.0598500922907586,0.11089173,4
"BGR",0.0495280051320436,0.21305562,4
"NLD",0.040672717316946,0.63800675,6
"PAK",0.0361807533293601,0.04105503,6
"FIN",0.0304413259750947,0.12234529,1
"MAR",0.0269079907955663,0.00687768,3
"SYR",0.0220889176386079,0.01847097,4
"MDA",0.0107102464912092,0.02662941,2
"MEX",0.0100337300204551,0.01067742,1
"ETH",0.00986093894915274,0.01251749,6
"SWE",0.00669989645243727,0.0975,1
"THA",0.00548904100722896,0.00250986,3
"MDG",0.00344437453479642,0.00704088,1
"UGA",0.00294930846262068,0.00127962,3
"ZAF",0.00273268033123482,0.00862815,4
"IDN",0.002451570103695,0.00199083,5
"LBN",0.00241961671676495,0.114777732857143,5
"KEN",0.00219466339851379,0.00376497,4
"DZA",0.00143189299059937,0.00045492,1
"BGD",0.00134803664581279,0.01713378,7
"ESP",0.000973536099060128,0.00248679,6
"LKA",0.000960404775232699,0.00096924,3
"GEO",0.000861475415412909,0.00095697,1
"BEL",0.00076104427788597,0.0184647,3
"PER",0.000705064729372396,0.00042897,1
"ITA",0.000556726928907404,0.00173493,8
"HUN",0.000472891534172905,0.00025656,3
"ARE",0.000250707706366991,0.0468882,2
"OMN",0.000208741934707726,0.03538203,2
"MWI",0.000148592312955841,9e-05,1
"JOR",9.72371484284955e-05,0.00111039,2
"IRL",9.53403223079889e-05,0.000125,1
"ZMB",6.14377909560402e-05,9e-05,1
"BLZ",4.72036570614369e-05,0.00108186,1
"VNM",3.36034415116955e-05,0.00023712,2
"TUN",1.02589978981428e-05,1.68e-06,1
"KWT",7.99165185273944e-06,0.00040674,3
"GHA",6.48712212090204e-06,5.412e-05,2
"JAM",3.82409079186795e-06,6.738e-05,1
"PHL",3.23377311048863e-06,2.307e-05,2
"SVN",2.13894935031207e-06,4.38e-06,1
"KOR",1.42337801520367e-06,1.5e-06,2
"GIN",5.82967536617715e-07,2.25e-06,1
"PRT",4.63690131837788e-07,9e-08,1
"AUT",4.38855949953742e-07,1.56e-06,3
"SRB",3.79663149924654e-07,1.8e-06,1
"KGZ",3.75999578694019e-07,1.8e-07,1
"NGA",8.79596532324157e-08,3.012e-05,1
"TZA",7.22430683875656e-09,3e-08,1
"BHR",5.09418899650791e-10,0.00084747,1
