"ISO3","Year","Crop","WaterFootprint_liters_per_year","Production_kg","WF_L_per_kg"
"AFG",1980,"Groundnuts, excluding shelled",887714415.479442,NA,NA
"AFG",1980,"Maize (corn)",491707500107.055,1203671100,408.506526498024
"AFG",1980,"Pulses, Total",160350771356.723,NA,NA
"AFG",1980,"Rape or colza seed",15435506570.7326,NA,NA
"AFG",1980,"Rice",673821698835.449,NA,NA
"AFG",1980,"Soya beans",1400719331.12034,NA,NA
"AFG",1980,"Sugar Crops Primary",976829747.170187,NA,NA
"AFG",1980,"Sunflower seed",7435967891.23392,30545400,243.43985972467
"AFG",1981,"Groundnuts, excluding shelled",894487263.047025,NA,NA
"AFG",1981,"Maize (corn)",566930539278.053,1122669000,504.984585196574
"AFG",1981,"Pulses, Total",182633173404.421,NA,NA
"AFG",1981,"Rape or colza seed",17103983178.7267,NA,NA
"AFG",1981,"Rice",778543539458.683,NA,NA
"AFG",1981,"Soya beans",1425937163.33705,NA,NA
"AFG",1981,"Sugar Crops Primary",1035602344.47443,NA,NA
"AFG",1981,"Sunflower seed",8034323291.3695,31066700,258.615279104942
"AFG",1982,"Groundnuts, excluding shelled",868800122.567382,NA,NA
"AFG",1982,"Maize (corn)",532415629202.092,1062665800,501.018880255761
"AFG",1982,"Pulses, Total",177127436984.915,NA,NA
"AFG",1982,"Rape or colza seed",16964023803.6477,NA,NA
"AFG",1982,"Rice",731404789717.897,NA,NA
"AFG",1982,"Soya beans",1299845893.27699,NA,NA
"AFG",1982,"Sugar Crops Primary",828193876.725894,NA,NA
"AFG",1982,"Sunflower seed",7834526548.08641,31763400,246.652642603953
"AFG",1983,"Groundnuts, excluding shelled",916357390.057784,NA,NA
"AFG",1983,"Maize (corn)",604022712917.838,1024664100,589.483629725915
"AFG",1983,"Pulses, Total",211501293856.191,NA,NA
"AFG",1983,"Rape or colza seed",21718986241.8206,NA,NA
"AFG",1983,"Rice",826623004367.435,NA,NA
"AFG",1983,"Soya beans",1607114454.32184,NA,NA
"AFG",1983,"Sugar Crops Primary",1410140109.83274,NA,NA
"AFG",1983,"Sunflower seed",9738115844.03178,31500000,309.146534731168
"AFG",1984,"Groundnuts, excluding shelled",923655727.355547,NA,NA
"AFG",1984,"Maize (corn)",448040777444.077,975661200,459.217582337062
"AFG",1984,"Pulses, Total",142956399749.474,NA,NA
"AFG",1984,"Rape or colza seed",13480773598.1946,NA,NA
"AFG",1984,"Rice",611503914777.23,NA,NA
"AFG",1984,"Soya beans",1140585030.04375,NA,NA
"AFG",1984,"Sugar Crops Primary",801469982.566831,NA,NA
"AFG",1984,"Sunflower seed",6601556939.87766,31500000,209.573236186592
"AFG",1985,"Groundnuts, excluding shelled",957538105.538889,NA,NA
"AFG",1985,"Maize (corn)",488682909573.17,925165200,528.211512466281
"AFG",1985,"Pulses, Total",163797230555.069,NA,NA
"AFG",1985,"Rape or colza seed",16503238971.4543,NA,NA
"AFG",1985,"Rice",666854776752.52,NA,NA
"AFG",1985,"Soya beans",1195623292.44588,NA,NA
"AFG",1985,"Sugar Crops Primary",956291424.877355,NA,NA
"AFG",1985,"Sunflower seed",7695257677.80122,31500000,244.293894533372
"AFG",1986,"Groundnuts, excluding shelled",948648914.266224,NA,NA
"AFG",1986,"Maize (corn)",507099192053.681,904687500,560.52415011115
