"ISO3","Year","Crop","WaterFootprint_liters_per_year","Production_kg","WF_L_per_kg"
"AFG",1980,"Millet",128402022653.308,39500000,3250.68411780526
"AFG",1980,"Millet",128402022653.308,860800,149165.918509884
"AFG",1980,"Millet",128402022653.308,3.4e+07,3776.53007803847
"AFG",1980,"Potatoes",1182952311569.78,17900000,66086.7213167473
"AFG",1980,"Potatoes",1182952311569.78,14860300,79604.8741660516
"AFG",1980,"Potatoes",1182952311569.78,2.66e+08,4447.18914123976
"AFG",1980,"Pulses, Total",160350771356.723,41500000,3863.87400859574
"AFG",1980,"Pulses, Total",160350771356.723,988000,162298.351575631
"AFG",1980,"Pulses, Total",160350771356.723,4.1e+07,3910.99442333471
"AFG",1980,"Rice",673821698835.449,1.91e+08,3527.8622975678
"AFG",1980,"Rice",673821698835.449,2172800,310116.761246065
"AFG",1980,"Rice",673821698835.449,4.15e+08,1623.6667441818
"AFG",1980,"Wheat",11039788409174.4,2.032e+09,5432.96673679842
"AFG",1980,"Wheat",11039788409174.4,1254900,8797345.13441261
"AFG",1980,"Wheat",11039788409174.4,2.55e+09,4329.32878791152
"AFG",1981,"Millet",149299990615.728,3.7e+07,4035.13488150615
"AFG",1981,"Millet",149299990615.728,864900,172621.10141719
"AFG",1981,"Millet",149299990615.728,3.2e+07,4665.62470674148
"AFG",1981,"Potatoes",1370607052204.53,17700000,77435.426678222
"AFG",1981,"Potatoes",1370607052204.53,15423700,88863.7001630302
"AFG",1981,"Potatoes",1370607052204.53,2.73e+08,5020.53865276384
"AFG",1981,"Pulses, Total",182633173404.421,4.5e+07,4058.51496454269
"AFG",1981,"Pulses, Total",182633173404.421,991100,184273.204928283
"AFG",1981,"Pulses, Total",182633173404.421,44600000,4094.91420189285
"AFG",1981,"Rice",778543539458.683,1.74e+08,4474.38815780852
"AFG",1981,"Rice",778543539458.683,2241400,347346.988247829
"AFG",1981,"Rice",778543539458.683,3.9e+08,1996.2654857915
"AFG",1981,"Wheat",12768181088494.6,2e+09,6384.0905442473
"AFG",1981,"Wheat",12768181088494.6,1235000,10338608.1688215
"AFG",1981,"Wheat",12768181088494.6,2.47e+09,5169.30408441077
"AFG",1982,"Millet",139813268387.142,3.5e+07,3994.66481106119
"AFG",1982,"Millet",139813268387.142,857100,163123.635966797
"AFG",1982,"Millet",139813268387.142,3e+07,4660.44227957138
"AFG",1982,"Potatoes",1288847480751.74,17600000,73229.9704972577
"AFG",1982,"Potatoes",1288847480751.74,15511400,83090.3387670833
"AFG",1982,"Potatoes",1288847480751.74,2.73e+08,4721.05304304665
"AFG",1982,"Pulses, Total",177127436984.915,37500000,4723.39831959775
"AFG",1982,"Pulses, Total",177127436984.915,970700,182473.922926667
"AFG",1982,"Pulses, Total",177127436984.915,36400000,4866.13837870647
"AFG",1982,"Rice",731404789717.898,165500000,4419.36428832567
"AFG",1982,"Rice",731404789717.898,2199400,332547.41734923
"AFG",1982,"Rice",731404789717.898,3.64e+08,2009.35381790631
"AFG",1982,"Wheat",12007741470231.6,1.944e+09,6176.82174394632
"AFG",1982,"Wheat",12007741470231.6,1229900,9763185.19410655
"AFG",1982,"Wheat",12007741470231.6,2.391e+09,5022.05833133904
"AFG",1983,"Millet",159873263908.927,3.5e+07,4567.80754025505
"AFG",1983,"Millet",159873263908.927,857100,186528.134300463
"AFG",1983,"Millet",159873263908.927,3e+07,5329.10879696422
"AFG",1983,"Potatoes",1453136852227.35,1.7e+07,85478.6383663148
"AFG",1983,"Potatoes",1453136852227.35,15764700,92176.6257668938
"AFG",1983,"Potatoes",1453136852227.35,2.68e+08,5422.15243368415
"AFG",1983,"Pulses, Total",211501293856.191,3.9e+07,5423.1100988767
"AFG",1983,"Pulses, Total",211501293856.191,928200,227861.768860366
"AFG",1983,"Pulses, Total",211501293856.191,36200000,5842.57717834783
"AFG",1983,"Rice",826623004367.435,1.55e+08,5333.05164108023
"AFG",1983,"Rice",826623004367.435,2258100,366070.149403231
"AFG",1983,"Rice",826623004367.435,3.5e+08,2361.78001247839
"AFG",1983,"Wheat",13525298276620.2,1.833e+09,7378.77701943273
"AFG",1983,"Wheat",13525298276620.2,1258000,10751429.4726711
"AFG",1983,"Wheat",13525298276620.2,2.306e+09,5865.26377997406
"AFG",1984,"Millet",115748691345.527,3.2e+07,3617.14660454771
"AFG",1984,"Millet",115748691345.527,875000,132284.218680602
"AFG",1984,"Millet",115748691345.527,2.8e+07,4133.88183376881
"AFG",1984,"Potatoes",1070696205253.29,1.8e+07,59483.1225140718
"AFG",1984,"Potatoes",1070696205253.29,14444400,74125.349980151
"AFG",1984,"Potatoes",1070696205253.29,2.6e+08,4118.06232789728
"AFG",1984,"Pulses, Total",142956399749.474,3.9e+07,3665.54871152498
"AFG",1984,"Pulses, Total",142956399749.474,943600,151501.05950559
"AFG",1984,"Pulses, Total",142956399749.474,36800000,3884.68477580093
"AFG",1984,"Rice",611503914777.23,1.49e+08,4104.05311931027
"AFG",1984,"Rice",611503914777.23,2241600,272797.963408828
"AFG",1984,"Rice",611503914777.23,3.34e+08,1830.8500442432
"AFG",1984,"Wheat",10016729247479.9,1.781e+09,5624.2163096462
"AFG",1984,"Wheat",10016729247479.9,1231900,8131122.04519838
"AFG",1984,"Wheat",10016729247479.9,2.194e+09,4565.5101401458
"AFG",1985,"Millet",126926400016.138,3.1e+07,4094.40000052059
"AFG",1985,"Millet",126926400016.138,871000,145724.913910607
"AFG",1985,"Millet",126926400016.138,2.7e+07,4700.9777783755
"AFG",1985,"Potatoes",1168310005747.75,17600000,66381.2503265767
"AFG",1985,"Potatoes",1168310005747.75,14090900,82912.3764804058
"AFG",1985,"Potatoes",1168310005747.75,2.48e+08,4710.92744253125
"AFG",1985,"Pulses, Total",163797230555.069,43500000,3765.45357597859
"AFG",1985,"Pulses, Total",163797230555.069,988500,165702.812903458
"AFG",1985,"Pulses, Total",163797230555.069,4.3e+07,3809.23791988532
"AFG",1985,"Rice",666854776752.521,1.41e+08,4729.46650179093
"AFG",1985,"Rice",666854776752.521,2248200,296617.194534526
"AFG",1985,"Rice",666854776752.521,3.17e+08,2103.6428288723
"AFG",1985,"Wheat",10917025698771.3,1.695e+09,6440.72312611874
"AFG",1985,"Wheat",10917025698771.3,1227700,8892258.44976074
"AFG",1985,"Wheat",10917025698771.3,2.081e+09,5246.04790906836
"AFG",1986,"Millet",132138912757.948,2.9e+07,4556.51423303271
"AFG",1986,"Millet",132138912757.948,862100,153275.620876869
"AFG",1986,"Millet",132138912757.948,2.5e+07,5285.55651031794
"AFG",1986,"Potatoes",1212792854312.43,1.5e+07,80852.8569541623
"AFG",1986,"Potatoes",1212792854312.43,15866700,76436.3638508596
"AFG",1986,"Potatoes",1212792854312.43,2.38e+08,5095.7682954304
"AFG",1986,"Pulses, Total",172851469407.372,39500000,4375.98656727523
"AFG",1986,"Pulses, Total",172851469407.372,939200,184041.172708019
"AFG",1986,"Pulses, Total",172851469407.372,37100000,4659.06925626338
"AFG",1986,"Rice",692243331560.756,1.5e+08,4614.95554373837
"AFG",1986,"Rice",692243331560.756,2240000,309037.201589623
"AFG",1986,"Rice",692243331560.756,3.36e+08,2060.24801059749
"AFG",1986,"Wheat",11329018325553.5,1.619e+09,6997.54065815533
"AFG",1986,"Wheat",11329018325553.5,1189000,9528190.3494983
"AFG",1986,"Wheat",11329018325553.5,1.925e+09,5885.20432496285
"AFG",1987,"Millet",136498514630.988,2.9e+07,4706.84533210305
"AFG",1987,"Millet",136498514630.988,862100,158332.576999175
"AFG",1987,"Millet",136498514630.988,2.5e+07,5459.94058523954
"AFG",1987,"Potatoes",1246542900914.63,1.4e+07,89038.778636759
"AFG",1987,"Potatoes",1246542900914.63,15500000,80422.1226396533
"AFG",1987,"Potatoes",1246542900914.63,2.17e+08,5744.4373314038
"AFG",1987,"Pulses, Total",177414747492.228,3.9e+07,4549.09608954432
"AFG",1987,"Pulses, Total",177414747492.228,964100,184021.105167751
"AFG",1987,"Pulses, Total",177414747492.228,37600000,4718.47732692097
"AFG",1987,"Rice",712592614619.749,1.62e+08,4398.71984333178
"AFG",1987,"Rice",712592614619.749,2e+06,356296.307309874
"AFG",1987,"Rice",712592614619.749,3.24e+08,2199.35992166589
"AFG",1987,"Wheat",11648742805149.7,1.79e+09,6507.67754477636
"AFG",1987,"Wheat",11648742805149.7,1284900,9065875.01373623
"AFG",1987,"Wheat",11648742805149.7,2.3e+09,5064.67078484769
"AFG",1988,"Millet",100856250262.871,2.9e+07,3477.80173320244
"AFG",1988,"Millet",100856250262.871,862100,116989.038699537
"AFG",1988,"Millet",100856250262.871,2.5e+07,4034.25001051484
"AFG",1988,"Potatoes",936591526001.938,1.4e+07,66899.3947144241
"AFG",1988,"Potatoes",936591526001.938,15571400,60148.190015152
"AFG",1988,"Potatoes",936591526001.938,2.18e+08,4296.29140367861
"AFG",1988,"Pulses, Total",123462140872.784,3.5e+07,3527.48973922241
"AFG",1988,"Pulses, Total",123462140872.784,914300,135034.606663879
"AFG",1988,"Pulses, Total",123462140872.784,3.2e+07,3858.19190227451
"AFG",1988,"Rice",538771049255.793,1.8e+08,2993.17249586552
"AFG",1988,"Rice",538771049255.793,1905600,282730.399483519
"AFG",1988,"Rice",538771049255.793,3.43e+08,1570.7610765475
"AFG",1988,"Wheat",8810520670381.69,1.62e+09,5438.59300640845
"AFG",1988,"Wheat",8810520670381.69,1172800,7512381.19916583
